Old_CD,New_SD,Old_CD_Republican,Old_CD_Democrat,Old_CD_Other,Old_CD_Total,Voters_To_New_SD,New_SD_Republican,New_SD_Democrat,New_SD_Other,Expected_Republican,Expected_Democrat,Net_Republican_Change,Net_Democrat_Change,Pct_Republican_Change,Pct_Democrat_Change
6,9,43237,12194,34888,473733,31117,3700,526,26891,2840.008462572799,800.9589747811531,859.9915374272009,-274.9589747811531,30.28130193133734,-34.328721375059246
6,14,43237,12194,34888,473733,7762,828,76,6858,708.4277303882144,199.79572459592217,119.5722696117856,-123.79572459592217,16.878541661018925,-61.96114799067569
6,16,43237,12194,34888,473733,32303,4296,517,27490,2948.2531531474483,831.4868966274252,1347.7468468525517,-314.48689662742515,45.71340305067582,-37.82223122252536
6,18,43237,12194,34888,473733,46917,5855,1112,39950,4282.0540874289945,1207.654729562855,1572.9459125710055,-95.65472956285498,36.73344335347768,-7.920701771894683
6,22,43237,12194,34888,473733,4780,164,217,4399,436.2644358742161,123.03833594028704,-272.2644358742161,93.96166405971296,-62.408120737285,76.36779491663023
6,24,43237,12194,34888,473733,9,0,0,9,0.8214183939054277,0.23166213879970363,-0.8214183939054277,-0.23166213879970363,-100.0,-100.0
6,27,43237,12194,34888,473733,6137,277,229,5631,560.1160759330678,157.96783842375348,-283.1160759330678,71.03216157624652,-50.54596504152102,44.96621735476345
6,29,43237,12194,34888,473733,32398,2661,907,28830,2956.923680638672,833.9322192036442,-295.92368063867207,73.0677807963558,-10.007822744168863,8.761836887191048
6,30,43237,12194,34888,473733,50428,1712,2181,46535,4602.498529762545,1298.028703932384,-2890.4985297625453,882.9712960676161,-62.80281266948441,68.02401929885299
6,33,43237,12194,34888,473733,11297,326,254,10717,1031.0626217721797,290.78746466891687,-705.0626217721797,-36.78746466891687,-68.38213381844115,-12.650980230802633
6,34,43237,12194,34888,473733,28061,3212,358,24491,2561.09128348669,722.2968085398315,650.9087165133101,-364.29680853983155,25.415287643600028,-50.435887883303884
6,36,43237,12194,34888,473733,46814,5689,649,40476,4272.653410254299,1205.0034850854806,1416.3465897457008,-556.0034850854806,33.14911025421561,-46.141234607801884
6,38,43237,12194,34888,473733,21224,1968,473,18783,1937.0871102498666,546.3108037649899,30.912889750133445,-73.31080376498994,1.5958440684758861,-13.419248394825178
7,7,19837,29162,23108,430497,318217,14448,23572,280197,14663.21630348179,21556.118054248924,-215.2163034817895,2015.8819457510763,-1.4677291736512559,9.351785607584043
