Old_HD,New_SD,Old_HD_Republican,Old_HD_Democrat,Old_HD_Other,Old_HD_Total,Voters_To_New_SD,New_SD_Republican,New_SD_Democrat,New_SD_Other,Expected_Republican,Expected_Democrat,Net_Republican_Change,Net_Democrat_Change,Pct_Republican_Change,Pct_Democrat_Change
17,18,17535,4724,11656,132014,5950,683,230,5037,790.3195873164967,212.91529686245397,-107.31958731649672,17.08470313754603,-13.579264520179327,8.024178341954908
17,21,17535,4724,11656,132014,12201,1963,196,10042,1620.6200478737103,436.6016028603027,342.3799521262897,-240.6016028603027,21.12647887921045,-55.10781483257331
17,27,17535,4724,11656,132014,59650,7361,2754,49535,7923.119896374627,2134.5205811504843,-562.1198963746274,619.4794188495157,-7.094678658489517,29.02194639489598
17,29,17535,4724,11656,132014,758,81,59,618,100.68273061947974,27.124335297771445,-19.68273061947974,31.875664702228555,-19.549261823130962,117.51685102066808
17,31,17535,4724,11656,132014,11361,1485,195,9681,1509.0455178996167,406.5429727150151,-24.045517899616698,-211.54297271501508,-1.593425619996191,-52.03459090739365
17,36,17535,4724,11656,132014,2342,256,89,1997,311.08041571348497,83.8063235717424,-55.08041571348497,5.193676428257604,-17.706166293739237,6.197236923072466
17,38,17535,4724,11656,132014,4550,323,152,4075,604.362037359674,162.81757995364129,-281.362037359674,-10.817579953641285,-46.555213591655,-6.643987680397505
18,3,20373,1629,9777,139670,15037,1808,138,13091,2193.3758215794373,175.37963055774324,-385.37582157943734,-37.37963055774324,-17.569985854131026,-21.313553027149357
18,4,20373,1629,9777,139670,6165,613,148,5404,899.2592897544212,71.90366578363286,-286.25928975442116,76.09633421636714,-31.832786496161276,105.83095227070973
18,14,20373,1629,9777,139670,9734,1655,79,8000,1419.8523806114413,113.52964845707739,235.14761938855872,-34.529648457077386,16.56141318629866,-30.414652847385632
18,34,20373,1629,9777,139670,20526,3812,281,16433,2994.0301997565693,239.39896899835327,817.9698002434307,41.60103100164673,27.320025038823452,17.37728076929725
18,36,20373,1629,9777,139670,88173,12485,976,74712,12861.37702441469,1028.3798739886877,-376.3770244146908,-52.37987398868768,-2.926413118130478,-5.093436317994674
19,10,27759,5187,17821,174336,48453,5748,2214,40491,7715.026311261013,1441.6168261288544,-1967.0263112610128,772.3831738711456,-25.496041515631653,53.577563737599476
19,11,27759,5187,17821,174336,14513,1067,540,12906,2310.8615948513216,431.80370663546256,-1243.8615948513216,108.19629336453744,-53.82674573079961,25.05682366823195
19,15,27759,5187,17821,174336,14717,2913,327,11477,2343.343904873348,437.8732963931718,569.656095126652,-110.87329639317181,24.30953877243385,-25.320862748756735
19,17,27759,5187,17821,174336,11051,2186,377,8488,1759.6176865363436,328.7991981002203,426.3823134636564,48.20080189977972,24.231531469938414,14.659647036331208
19,20,27759,5187,17821,174336,13194,2439,237,10518,2100.841168777533,392.5596434471365,338.15883122246714,-155.55964344713652,16.096353986590987,-39.62700854350168
19,21,27759,5187,17821,174336,3224,509,83,2632,513.3478799559472,95.92332048458151,-4.347879955947178,-12.92332048458151,-0.8469656008553674,-13.472553305386018
19,23,27759,5187,17821,174336,6185,1297,126,4762,984.8190563050662,184.02163064427313,312.18094369493383,-58.02163064427313,31.69931996098885,-31.52978834125922
19,28,27759,5187,17821,174336,7213,1808,175,5230,1148.5044224944934,214.6076025605727,659.4955775055066,-39.6076025605727,57.42211911323037,-18.455824531842254
19,34,27759,5187,17821,174336,39299,6918,794,31587,6257.462262527533,1169.2588621971365,660.5377374724667,-375.2588621971365,10.556000336239507,-32.09373683873504
19,35,27759,5187,17821,174336,16485,2874,314,13297,2624.857258397577,490.47640762665196,249.14274160242303,-176.47640762665196,9.491668196636327,-35.98061086782891
20,7,19679,7119,10015,159755,12801,1070,496,11235,1576.8575568839785,570.4379769021314,-506.85755688397853,-74.43797690213137,-32.143522074725475,-13.049267390362143
20,8,19679,7119,10015,159755,3574,777,216,2581,440.2538011329849,159.2645363212419,336.7461988670151,56.735463678758094,76.48910651092736,35.62341308947823
20,9,19679,7119,10015,159755,36942,5213,2019,29710,4550.603223686269,1646.20886983193,662.3967763137307,372.7911301680699,14.556241090541585,22.645433213230717
20,18,19679,7119,10015,159755,33211,4037,1424,27750,4091.0097899909233,1479.9481017808519,-54.00978999092331,-55.94810178085186,-1.320206813561381,-3.780409712578999
20,29,19679,7119,10015,159755,27068,2798,1020,23250,3334.3004725986666,1206.2038246064285,-536.3004725986666,-186.2038246064285,-16.084347436770987,-15.437177432859228
20,36,19679,7119,10015,159755,16212,3092,823,12297,1997.0326312165505,722.4389095802949,1094.9673687834495,100.56109041970512,54.829718436619544,13.919666989991816
20,38,19679,7119,10015,159755,29947,2692,1121,26134,3688.942524490626,1334.497780977121,-996.942524490626,-213.497780977121,-27.02515742308252,-15.99836163240359
21,6,25263,3072,8244,128100,13491,2876,270,10345,2660.602131147541,323.5312412177986,215.39786885245894,-53.531241217798595,8.095831628893567,-16.54592645096731
21,14,25263,3072,8244,128100,22719,4395,466,17858,4480.484754098361,544.8303512880562,-85.48475409836101,-78.83035128805625,-1.9079353862362087,-14.46878851401911
21,25,25263,3072,8244,128100,11084,2670,119,8295,2185.9101639344262,265.80833723653393,484.08983606557376,-146.80833723653393,22.145916335109536,-55.230900115030664
21,27,25263,3072,8244,128100,56344,10800,863,44681,11111.775737704918,1351.20037470726,-311.77573770491836,-488.2003747072599,-2.805813805681738,-36.130864366658386
21,36,25263,3072,8244,128100,24454,4519,1354,18581,4822.649508196721,586.4378454332552,-303.6495081967214,767.5621545667448,-6.296321299746737,130.88550825018405
22,14,6245,8861,5214,101022,55861,4375,3797,47689,3453.227465304587,4899.767585278454,921.772534695413,-1102.7675852784541,26.693073188971333,-22.506528444160555
22,36,6245,8861,5214,101022,45161,1870,5064,38227,2791.772534695413,3961.232414721546,-921.772534695413,1102.7675852784541,-33.017465543480604,27.839002356441462
23,14,15813,4215,8080,135369,98213,9232,3767,85214,11472.65746958314,3058.069388116925,-2240.6574695831405,708.930611883075,-19.530413729545042,23.18229320230091
23,34,15813,4215,8080,135369,37156,6581,448,30127,4340.34253041686,1156.930611883075,2240.6574695831396,-708.930611883075,51.623977920653644,-61.276847945892456
24,14,18206,4179,8828,148134,148134,18206,4179,125749,18206.0,4179.0,0.0,0.0,0.0,0.0
25,14,14087,4352,6762,123017,21946,1503,710,19733,2513.0941414601234,776.3885641821862,-1010.0941414601234,-66.3885641821862,-40.19324723240381,-8.550945653368428
25,18,14087,4352,6762,123017,32571,1098,2163,29310,3729.7908175292846,1152.2715722217254,-2631.7908175292846,1010.7284277782746,-70.56135172944242,87.71616450013275
25,22,14087,4352,6762,123017,68500,11486,1479,55535,7844.115041010591,2423.339863596088,3641.884958989409,-944.339863596088,46.42824512324094,-38.96852760036496
26,7,13724,5257,5720,127718,5235,338,343,4554,562.5294790084405,215.477810488733,-224.5294790084405,127.52218951126699,-39.91426003206341,59.18112367209844
26,22,13724,5257,5720,127718,122483,13386,4914,104183,13161.47052099156,5041.522189511267,224.52947900844083,-127.52218951126724,1.7059604293481732,-2.5294382275371765
27,18,5568,13028,7643,137880,102089,2882,10283,88924,4122.654134029591,9646.181404119525,-1240.6541340295908,636.8185958804752,-30.09357791595636,6.601768816088341
27,22,5568,13028,7643,137880,35791,2686,2745,30360,1445.3458659704092,3381.818595880476,1240.6541340295908,-636.8185958804761,85.83787197513531,-18.830655099484325
28,7,14466,6807,7813,146300,20215,1588,1916,16711,1998.8393028024605,940.5571086807928,-410.83930280246045,975.4428913192072,-20.553893563451837,103.70905523082425
28,22,14466,6807,7813,146300,126085,12878,4891,108316,12467.160697197538,5866.442891319207,410.83930280246204,-975.4428913192069,3.2953718395144582,-16.62750169719722
29,14,14064,4773,6115,127490,107437,11391,4196,91850,11851.862640207075,4022.251164797239,-460.86264020707495,173.7488352027608,-3.888524987149385,4.319691339104117
29,18,14064,4773,6115,127490,4298,157,276,3865,474.13186916620907,160.90951447172327,-317.13186916620907,115.09048552827673,-66.8868493746066,71.52497222188913
29,22,14064,4773,6115,127490,15755,2516,301,12938,1738.0054906267158,589.8393207310377,777.9945093732842,-288.8393207310377,44.7636393307793,-48.969153221771435
30,7,17002,1755,13205,122322,3039,313,10,2716,422.40216804826605,43.60168244469515,-109.40216804826605,-33.60168244469515,-25.900001544444045,-77.06510519935989
30,8,17002,1755,13205,122322,820,252,16,552,113.9749186573143,11.76485014960514,138.0250813426857,4.23514985039486,121.10127646388801,35.99833229101523
30,9,17002,1755,13205,122322,3927,931,30,2966,545.828665325943,56.342154314023645,385.171334674057,-26.342154314023645,70.56634419228439,-46.753899695076164
30,10,17002,1755,13205,122322,15772,2833,198,12741,2192.210264711172,226.286849462893,640.7897352888281,-28.286849462893002,29.23030448328155,-12.500438947306808
30,14,17002,1755,13205,122322,22214,2418,306,19490,3087.6083451872923,318.7126600284495,-669.6083451872923,-12.712660028449477,-21.686958652998275,-3.9887527615987075
