district,republican_voters,democrat_voters,other_voters,total_voters,republican_pct,democrat_pct,other_pct,republican_known,republican_modeled,democrat_known,democrat_modeled
88,7157,190,100805,108152,6.6175382794585405,0.17567867445816998,93.20678304608329,7157,0,190,0
89,4769,1666,136858,143293,3.3281458270815736,1.1626527464705185,95.50920142644792,4769,0,1666,0
90,928,1697,92054,94679,0.9801539940219055,1.7923721205335925,97.22747388544451,928,0,1697,0
91,3840,1069,111965,116874,3.285589609322861,0.9146602323870151,95.79975015829012,3840,0,1069,0
92,1758,1300,90624,93682,1.876561132341325,1.3876731922888068,96.73576567536986,1758,0,1300,0
93,2468,984,135211,138663,1.7798547557747921,0.709634148979901,97.5105110952453,2468,0,984,0
94,4877,2217,113792,120886,4.034379498039476,1.8339592674089638,94.13166123455156,4877,0,2217,0
95,864,3372,103240,107476,0.803900405671964,3.1374446388030814,96.05865495552496,864,0,3372,0
96,3681,2177,125154,131012,2.8096662901108296,1.6616798461209659,95.52865386376821,3681,0,2177,0
97,4749,2210,127529,134488,3.5311700672178934,1.6432692879662127,94.8255606448159,4749,0,2210,0
98,6745,1643,131159,139547,4.8334969580141465,1.1773810974080419,93.98912194457782,6745,0,1643,0
99,3791,1289,120447,125527,3.0200673958590585,1.0268707130736814,95.95306189106726,3791,0,1289,0
100,251,2808,87195,90254,0.2781040175504687,3.111219447337514,96.61067653511202,251,0,2808,0
101,1033,2269,106436,109738,0.9413329931290894,2.0676520439592485,96.99101496291166,1033,0,2269,0
102,1514,2181,90117,93812,1.613866029932205,2.3248624909393256,96.06127147912848,1514,0,2181,0
103,681,2242,91531,94454,0.7209858767230609,2.3736421962013257,96.9053719270756,681,0,2242,0
104,667,1453,87163,89283,0.7470627107064054,1.6274094732479867,97.6255278160456,667,0,1453,0
105,1326,1051,80919,83296,1.5919131771033423,1.261765270841337,97.14632155205533,1326,0,1051,0
106,3968,1304,146793,152065,2.6094104494788413,0.8575280307763127,96.53306151974485,3968,0,1304,0
107,1077,1291,81439,83807,1.2850955170809122,1.5404441156466644,97.17446036727242,1077,0,1291,0
108,5170,4749,137157,147076,3.515189425875058,3.2289428594740133,93.25586771465093,5170,0,4749,0
109,834,5653,110318,116805,0.7140105303711314,4.839690081760199,94.44629938786868,834,0,5653,0
110,183,2311,84967,87461,0.209236116669144,2.6423205771715397,97.14844330615932,183,0,2311,0
111,957,6395,105041,112393,0.851476515441353,5.689856129830149,93.4586673547285,957,0,6395,0
112,3936,3296,124591,131823,2.9858218975444344,2.500322402008754,94.51385570044681,3936,0,3296,0
113,1785,2312,103396,107493,1.6605732466300132,2.150837728968398,96.1885890244016,1785,0,2312,0
114,1199,3753,115306,120258,0.9970230670724609,3.120790300853166,95.88218663207438,1199,0,3753,0
115,2179,2069,109319,113567,1.9186911690896122,1.8218320462810498,96.25947678462934,2179,0,2069,0
116,1185,2730,111948,115863,1.0227596385386188,2.3562310660003623,96.62100929546101,1185,0,2730,0
117,1007,1611,130837,133455,0.7545614626653179,1.207148477014724,98.03829006031995,1007,0,1611,0
118,2066,1936,135315,139317,1.4829489581314557,1.3896365841928837,97.12741445767567,2066,0,1936,0
119,1185,2450,117989,121624,0.9743142800763007,2.014405051634546,97.01128066828916,1185,0,2450,0
120,1003,2145,112964,116112,0.8638211382113822,1.847354278627532,97.28882458316109,1003,0,2145,0
121,5259,3168,140041,148468,3.5421774389093947,2.1337931406094244,94.32402942048118,5259,0,3168,0
122,5615,2705,154858,163178,3.441027589503487,1.6576989545159273,94.90127345598059,5615,0,2705,0
123,1930,3607,114379,119916,1.6094599553020446,3.0079388905567233,95.38260115414123,1930,0,3607,0
124,759,1690,102535,104984,0.722967309304275,1.6097691076735505,97.66726358302218,759,0,1690,0
125,2057,2936,127753,132746,1.5495758817591492,2.2117427267111625,96.2386813915297,2057,0,2936,0
126,3830,1432,121560,126822,3.019980760435886,1.1291416315781173,95.85087760798599,3830,0,1432,0
127,4658,1757,138720,145135,3.209425707100286,1.2105970303510525,95.57997726254867,4658,0,1757,0
128,3281,922,109823,114026,2.8774139231403364,0.8085875151281288,96.31399856173154,3281,0,922,0
129,3541,2043,130642,136226,2.599356950949158,1.4997137110390086,95.90092933801184,3541,0,2043,0
130,3713,1106,132566,137385,2.7026240128107144,0.8050369399861703,96.49233904720312,3713,0,1106,0
131,353,2854,89494,92701,0.3807941661902245,3.0787154399628913,96.5404903938469,353,0,2854,0
132,2992,1408,137554,141954,2.1077250376882652,0.9918706059709483,96.90040435634079,2992,0,1408,0
133,4564,2063,112805,119432,3.821421394601112,1.7273427557103624,94.45123584968853,4564,0,2063,0
134,3152,5308,142830,151290,2.083415956110781,3.508493621521581,94.40809042236764,3152,0,5308,0
135,1044,1229,114814,117087,0.8916446744728279,1.0496468437999096,98.05870848172727,1044,0,1229,0
136,2068,2453,116944,121465,1.7025480591116784,2.0195117935207674,96.27794014736756,2068,0,2453,0
137,737,968,63310,65015,1.1335845574098284,1.4888871798815657,97.37752826270861,737,0,968,0
138,3825,1827,114359,120011,3.1872078392813994,1.5223604502920567,95.29043171042655,3825,0,1827,0
139,908,3594,109387,113889,0.7972675148609611,3.1557042383373286,96.04702824680172,908,0,3594,0
140,272,653,73657,74582,0.36469925719342466,0.8755463784827439,98.75975436432383,272,0,653,0
141,254,1980,89140,91374,0.2779784183684637,2.166918379407709,97.55510320222382,254,0,1980,0
142,487,2342,99703,102532,0.47497366675769515,2.2841649436273554,97.24086138961495,487,0,2342,0
143,531,1398,84998,86927,0.610857386082575,1.6082459995168361,97.78089661440059,531,0,1398,0
144,890,747,88498,90135,0.9874077772230544,0.8287568647029456,98.183835358074,890,0,747,0
145,740,3026,106630,110396,0.6703141418167324,2.741041342077611,96.58864451610566,740,0,3026,0
146,811,4035,101840,106686,0.7601747183323022,3.782126989483156,95.45769829218455,811,0,4035,0
147,476,3875,120818,125169,0.3802858535260328,3.0958144588516325,96.52389968762233,476,0,3875,0
148,1388,1423,96737,99548,1.3943022461526098,1.4294611644633743,97.17623658938402,1388,0,1423,0
149,817,1072,97835,99724,0.8192611608038185,1.0749669086679234,98.10577193052826,817,0,1072,0
150,3043,1112,125192,129347,2.3525864534933163,0.8597029695315702,96.78771057697512,3043,0,1112,0
