district,republican_voters,democrat_voters,total_voters,republican_pct,democrat_pct,net_advantage,net_advantage_pct,advantage_party,period
115,6376,5866,18838,33.84648051810171,31.139186750185793,510,2.707293767915915,Competitive/Swing,2026
116,4227,6390,16768,25.208730916030536,38.10830152671756,-2163,-12.899570610687022,Democrat,2026
117,4399,5212,15773,27.889431306663287,33.043809040765865,-813,-5.154377734102581,Competitive/Swing,2026
118,7509,5901,20171,37.226711615685886,29.254870854196614,1608,7.971840761489267,Republican,2026
119,4446,6737,17487,25.42460113226969,38.52576199462458,-2291,-13.101160862354892,Democrat,2026
120,3660,5873,15435,23.71234207968902,38.0498866213152,-2213,-14.337544541626174,Democrat,2026
121,16140,7769,34733,46.46877609190108,22.36777704200616,8371,24.100999049894913,Republican,2026
122,16638,7060,36092,46.098858472791754,19.561121578189073,9578,26.53773689460268,Republican,2026
123,5786,8115,22435,25.790060173835528,36.171161132159575,-2329,-10.381100958324046,Democrat,2026
124,2980,4838,12714,23.438728960201352,38.05254050652824,-1858,-14.613811546326883,Democrat,2026
125,7096,7957,22121,32.078115817548934,35.97034492111568,-861,-3.8922291035667467,Competitive/Swing,2026
126,12297,7317,32501,37.835758899726166,22.51315344143257,4980,15.322605458293593,Republican,2026
127,15620,9045,36332,42.99240339095013,24.895409005835077,6575,18.09699438511505,Republican,2026
128,17896,10719,42526,42.08249071156469,25.20575647838969,7177,16.876734233174997,Republican,2026
129,22696,13771,56447,40.2076283947774,24.39633638634471,8925,15.81129200843269,Republican,2026
130,18822,10341,44143,42.63869696214576,23.426137779489387,8481,19.212559182656367,Republican,2026
131,9225,13202,33936,27.183521923620933,38.9026402640264,-3977,-11.719118340405469,Democrat,2026
132,12559,7674,30376,41.34514090071109,25.2633658151172,4885,16.08177508559389,Republican,2026
133,23156,15112,57298,40.413277950364765,26.374393521588885,8044,14.038884428775875,Republican,2026
134,21701,28858,78429,27.669612005763177,36.79506305065728,-7157,-9.125451044894108,Democrat,2026
135,5858,4393,15398,38.04390180542928,28.52967917911417,1465,9.514222626315105,Republican,2026
137,9837,9190,29447,33.4057798757089,31.208612082724898,647,2.197167792984005,Competitive/Swing,2026
138,18326,12283,46542,39.37518800223454,26.39121653560225,6043,12.983971466632289,Republican,2026
139,8948,17029,39296,22.770765472312704,43.33519951140065,-8081,-20.56443403908795,Democrat,2026
140,15753,11074,42316,37.22705359674828,26.169770299650253,4679,11.057283297098024,Republican,2026
141,23052,20977,66891,34.462035251379106,31.35997368853807,2075,3.10206156284104,Republican,2026
142,19892,20689,61787,32.19447456584719,33.48438992020975,-797,-1.289915354362568,Competitive/Swing,2026
143,14519,17996,48209,30.11678317326641,37.32912941566927,-3477,-7.212346242402871,Democrat,2026
144,17656,12305,44909,39.31505934222539,27.39985303613975,5351,11.91520630608564,Republican,2026
145,21619,27121,74924,28.85457263360205,36.19801398750734,-5502,-7.34344135390529,Democrat,2026
146,13951,20908,53540,26.057153530070977,39.05117669032499,-6957,-12.994023160254015,Democrat,2026
147,19106,26735,69339,27.55447872048919,38.55694486508314,-7629,-11.002466144593951,Democrat,2026
148,9711,10299,30790,31.539460863916855,33.449171809028904,-588,-1.9097109451120493,Competitive/Swing,2026
149,5834,5129,16525,35.304084720121025,31.03782148260212,705,4.266263237518911,Competitive/Swing,2026
150,13991,8118,33925,41.240972733972,23.929255711127485,5873,17.311717022844512,Republican,2026
