district,republican_voters,democrat_voters,other_voters,total_voters,republican_pct,democrat_pct,other_pct,republican_known,republican_modeled,democrat_known,democrat_modeled
129,114395,110286,624,225305,50.77339606311444,48.94964603537427,0.2769579015112847,6662,107733,4485,105801
130,147166,76603,436,224205,65.63903570393167,34.166499409023,0.194464887045338,6205,140961,3039,73564
131,46733,145665,377,192775,24.242251329269873,75.56218389313966,0.1955647775904552,3135,43598,5000,140665
132,69060,82422,278,151760,45.506062203479175,54.31075382182393,0.18318397469688982,3926,65134,2197,80225
133,128450,118794,819,248063,51.78120074335955,47.888641191955266,0.3301580646851808,8581,119869,5186,113608
134,69475,221676,1324,292475,23.754167022822465,75.79314471322334,0.4526882639541841,7255,62220,9552,212124
135,21262,101164,114,122540,17.351069038681246,82.5559001142484,0.09303084707034438,1921,19341,1333,99831
137,44349,102512,421,147282,30.111622601539906,69.60253119865293,0.28584619980717263,3037,41312,3017,99495
138,90493,97900,579,188972,47.88698854856804,51.806616853290436,0.30639459814152364,6278,84215,3853,94047
139,35633,156461,409,192503,18.51036087749282,81.27717490117037,0.21246422133681034,3099,32534,5769,150692
140,73941,122648,446,197035,37.52683533382394,62.24680894257365,0.22635572360240563,5228,68713,3352,119296
141,127962,192715,810,321487,39.80316466917792,59.94488113049672,0.2519542003253631,8600,119362,7176,185539
142,121795,180156,861,302812,40.22132544284903,59.49433972233598,0.2843348348150007,7185,114610,6123,174033
143,65900,153264,666,219830,29.977710048673977,69.71932857207842,0.3029613792476004,5691,60209,4886,148378
144,106391,128758,647,235796,45.11993418039322,54.60567609289386,0.27438972671292133,6768,99623,3996,124762
145,80775,187190,892,268857,30.043852308104306,69.62437280784953,0.3317748840461658,5403,75372,6851,180339
146,57114,183926,593,241633,23.636672143291687,76.11791435772432,0.24541349898399642,4338,52776,7000,176926
147,72690,193068,679,266437,27.28224683508672,72.46290868010074,0.2548444848125448,5387,67303,7254,185814
148,33239,121784,372,155395,21.390006113452813,78.37060394478587,0.23938994176131795,3063,30176,3348,118436
149,29928,87010,174,117112,25.55502425029032,74.29640002732427,0.14857572238540884,1976,27952,1471,85539
150,92044,54421,267,146732,62.72932966224136,37.08870594008123,0.18196439767739825,3902,88142,2097,52324
