district,Democrat,Republican,Swing,Unknown,total_voters,republican_voters,democrat_voters,net_advantage_2026,net_advantage_pct_2026,rep_pct_2026,dem_pct_2026,advantage_2026
67,59220.0,142339.0,33619.0,0.0,235178.0,142339.0,59220.0,83119.0,35.34301677878033,60.523943566149896,25.180926787369568,Republican
68,166.0,57486.0,88.0,0.0,57740.0,57486.0,166.0,57320.0,99.27260131624523,99.56009698649116,0.28749567024593004,Republican
69,205.0,44959.0,328.0,0.0,45492.0,44959.0,205.0,44754.0,98.37773674492219,98.82836542688824,0.45062868196606,Republican
70,81521.0,110573.0,26280.0,0.0,218374.0,110573.0,81521.0,29052.0,13.303781585719912,50.63469094306099,37.33090935734108,Republican
71,311.0,97763.0,209.0,0.0,98283.0,97763.0,311.0,97452.0,99.15448246390525,99.47091562121628,0.3164331573110304,Republican
72,1847.0,87506.0,1612.0,0.0,90965.0,87506.0,1847.0,85659.0,94.16698730280876,96.19743857527621,2.0304512724674324,Republican
73,9214.0,161339.0,14190.0,0.0,184743.0,161339.0,9214.0,152125.0,82.344121292823,87.33159037148904,4.987469078666039,Republican
74,9103.0,7988.0,2215.0,0.0,19306.0,7988.0,9103.0,-1115.0,-5.7754066093442455,41.37573811250388,47.151144721848134,Democrat
75,4050.0,1158.0,1381.0,0.0,6589.0,1158.0,4050.0,-2892.0,-43.89133404158446,17.57474578843527,61.46607983001972,Democrat
76,90394.0,22181.0,11134.0,0.0,123709.0,22181.0,90394.0,-68213.0,-55.139884729486134,17.929980842137596,73.06986557162372,Democrat
77,28242.0,30466.0,8423.0,0.0,67131.0,30466.0,28242.0,2224.0,3.3129254740730807,45.38290804546335,42.06998257139027,Republican
78,30952.0,60214.0,11656.0,0.0,102822.0,60214.0,30952.0,29262.0,28.45889012079127,58.56139736632239,30.10250724553111,Republican
79,44204.0,24723.0,15479.0,0.0,84406.0,24723.0,44204.0,-19481.0,-23.080112788190412,29.290571760301397,52.37068454849181,Democrat
80,167.0,17819.0,83.0,0.0,18069.0,17819.0,167.0,17652.0,97.69217997675577,98.61641485417012,0.9242348774143561,Republican
81,6850.0,98881.0,949.0,0.0,106680.0,98881.0,6850.0,92031.0,86.26827896512937,92.68935133108361,6.421072365954256,Republican
82,5718.0,119607.0,642.0,0.0,125967.0,119607.0,5718.0,113889.0,90.41177451237229,94.95105861058849,4.539284098216199,Republican
83,2101.0,5115.0,16.0,0.0,7232.0,5115.0,2101.0,3014.0,41.67588495575221,70.72732300884957,29.051438053097346,Republican
84,5607.0,1370.0,39.0,0.0,7016.0,1370.0,5607.0,-4237.0,-60.390535917901936,19.52679589509692,79.91733181299885,Democrat
85,18612.0,87588.0,5159.0,0.0,111359.0,87588.0,18612.0,68976.0,61.9402113883925,78.65372354277606,16.71351215438357,Republican
86,348.0,101131.0,226.0,0.0,101705.0,101131.0,348.0,100783.0,99.09345656555725,99.43562263408879,0.3421660685315373,Republican
87,2113.0,63313.0,3182.0,0.0,68608.0,63313.0,2113.0,61200.0,89.20242537313433,92.2822411380597,3.0798157649253732,Republican
88,42.0,27221.0,41.0,0.0,27304.0,27221.0,42.0,27179.0,99.54219162027542,99.69601523586287,0.15382361558745972,Republican
89,32942.0,141745.0,35981.0,0.0,210668.0,141745.0,32942.0,108803.0,51.646666793248144,67.28359314181556,15.636926348567414,Republican
90,82172.0,7845.0,4662.0,0.0,94679.0,7845.0,82172.0,-74327.0,-78.504208958692,8.285892330928716,86.79010128962071,Democrat
91,12110.0,90153.0,14611.0,0.0,116874.0,90153.0,12110.0,78043.0,66.77533069801666,77.136916679501,10.361585981484334,Republican
92,61474.0,21220.0,10988.0,0.0,93682.0,21220.0,61474.0,-40254.0,-42.96876667876433,22.651096261821905,65.61986294058624,Democrat
93,29733.0,77748.0,31182.0,0.0,138663.0,77748.0,29733.0,48015.0,34.62711754397352,56.06975184439973,21.442634300426214,Republican
94,34863.0,60691.0,25332.0,0.0,120886.0,60691.0,34863.0,25828.0,21.3655841040319,50.205151961352016,28.83956785732012,Republican
95,99974.0,5035.0,2467.0,0.0,107476.0,5035.0,99974.0,-94939.0,-88.33507015519744,4.684766831664744,93.01983698686217,Democrat
96,47573.0,59951.0,23488.0,0.0,131012.0,59951.0,47573.0,12378.0,9.447989497145299,45.759930388056056,36.311940890910755,Republican
97,33753.0,78042.0,22693.0,0.0,134488.0,78042.0,33753.0,44289.0,32.93156266730117,58.02896912735709,25.097406460055915,Republican
98,13229.0,112051.0,14267.0,0.0,139547.0,112051.0,13229.0,98822.0,70.81628411932897,80.29624427612202,9.479960156793052,Republican
99,21410.0,81623.0,22494.0,0.0,125527.0,81623.0,21410.0,60213.0,47.968166211253354,65.0242577294128,17.056091518159437,Republican
100,89473.0,413.0,368.0,0.0,90254.0,413.0,89473.0,-89060.0,-98.67706694440136,0.4575974472045561,99.13466439160591,Democrat
101,103007.0,3860.0,2871.0,0.0,109738.0,3860.0,103007.0,-99147.0,-90.34883085166487,3.5174688804242833,93.86629973208915,Democrat
102,79373.0,6637.0,7802.0,0.0,93812.0,6637.0,79373.0,-72736.0,-77.53379098622779,7.07478787361958,84.60857885984736,Democrat
103,88438.0,3421.0,2595.0,0.0,94454.0,3421.0,88438.0,-85017.0,-90.00889321786266,3.621868846210854,93.63076206407351,Democrat
104,77691.0,8120.0,3472.0,0.0,89283.0,8120.0,77691.0,-69571.0,-77.9218888254203,9.094676478164935,87.01656530358522,Democrat
105,58605.0,16333.0,8358.0,0.0,83296.0,16333.0,58605.0,-42272.0,-50.749135612754515,19.608384556281212,70.35752016903572,Democrat
106,34894.0,95064.0,22107.0,0.0,152065.0,95064.0,34894.0,60170.0,39.56860553052971,62.51537171604248,22.946766185512775,Republican
107,66672.0,10154.0,6981.0,0.0,83807.0,10154.0,66672.0,-56518.0,-67.43828081186535,12.115933036619852,79.5542138484852,Democrat
108,89140.0,40041.0,17895.0,0.0,147076.0,40041.0,89140.0,-49099.0,-33.38342081644864,27.224700155021893,60.608120971470534,Democrat
109,111287.0,2700.0,2818.0,0.0,116805.0,2700.0,111287.0,-108587.0,-92.96434227986816,2.3115448824964684,95.27588716236463,Democrat
110,85812.0,1072.0,577.0,0.0,87461.0,1072.0,85812.0,-84740.0,-96.88889905214896,1.2256891643132368,98.1145882164622,Democrat
111,108392.0,2254.0,1747.0,0.0,112393.0,2254.0,108392.0,-106138.0,-94.43470678778928,2.0054629736727376,96.44016976146202,Democrat
112,77565.0,31098.0,23160.0,0.0,131823.0,31098.0,77565.0,-46467.0,-35.249539154775725,23.590723925263422,58.84026308003914,Democrat
113,86711.0,9815.0,10967.0,0.0,107493.0,9815.0,86711.0,-76896.0,-71.5358209371773,9.130827123626654,80.66664806080396,Democrat
114,116777.0,1734.0,1747.0,0.0,120258.0,1734.0,116777.0,-115043.0,-95.66349016281661,1.441899915182358,97.10539007799896,Democrat
115,86153.0,15868.0,11546.0,0.0,113567.0,15868.0,86153.0,-70285.0,-61.88857678727096,13.972368733875157,75.8609455211461,Democrat
116,103352.0,9602.0,12414.0,0.0,125368.0,9602.0,103352.0,-93750.0,-74.77984812711378,7.659051751643163,82.43889987875694,Democrat
117,121335.0,5670.0,6450.0,0.0,133455.0,5670.0,121335.0,-115665.0,-86.66966393166236,4.248623131392605,90.91828706305496,Democrat
118,90404.0,31092.0,17821.0,0.0,139317.0,31092.0,90404.0,-59312.0,-42.573411715727445,22.31744869613902,64.89086041186646,Democrat
119,113513.0,16684.0,9832.0,0.0,140029.0,16684.0,113513.0,-96829.0,-69.14924765584271,11.914674817359261,81.06392247320198,Democrat
