district,old_expected_republican_voters_known,new_republican_voters_known,net_republican_change_known,pct_republican_change_known,old_expected_democrat_voters_known,new_democrat_voters_known,net_democrat_change_known,pct_democrat_change_known,old_expected_other_voters_known,new_other_voters_known,net_other_change_known,new_rep_known_known,new_rep_modeled_known,new_dem_known_known,new_dem_modeled_known,old_expected_republican_pct_known,new_republican_pct_known,old_expected_democrat_pct_known,new_democrat_pct_known,old_expected_republican_voters_modeled,new_republican_voters_modeled,net_republican_change_modeled,pct_republican_change_modeled,old_expected_democrat_voters_modeled,new_democrat_voters_modeled,net_democrat_change_modeled,pct_democrat_change_modeled,old_expected_other_voters_modeled,new_other_voters_modeled,net_other_change_modeled,new_rep_known_modeled,new_rep_modeled_modeled,new_dem_known_modeled,new_dem_modeled_modeled,old_expected_republican_pct_modeled,new_republican_pct_modeled,old_expected_democrat_pct_modeled,new_democrat_pct_modeled,rep_voters_diff,dem_voters_diff,net_advantage_diff
27,5493.206279203673,6308.0,814.7937207963269,14.832753029519294,1544.6668482906757,1617.0,72.33315170932428,4.682767147451113,140870.12687250564,139983.0,-887.1268725056434,6308.0,0.0,1617.0,0.0,3.71393452632966,4.264813262298185,1.0443430026034264,1.093247153636044,96964.76426501623,113779.0,16814.23573498377,17.34056269041037,38878.461642711685,21863.0,-17015.461642711685,-43.765779106904226,413.7740922720841,615.0,201.2259077279159,6308.0,107471.0,1617.0,20246.0,71.1631433724625,83.50323286143097,28.53318482185259,16.045414180555863,107471.0,20246.0,87225.0
28,5683.382226420248,5929.0,245.61777357975188,4.321683177280466,12594.425723883307,12646.0,51.574276116693,0.4095008160546031,396813.1920496964,396516.0,-297.1920496964012,5929.0,0.0,12646.0,0.0,1.3691894612073614,1.428361491817457,3.034136062666574,3.0465608746034003,109411.4174164999,101939.0,-7472.4174164998985,-6.829650499869142,284195.76459416636,291731.0,7535.235405833635,2.6514242450424996,1316.8179893337074,1254.0,-62.817989333707374,5929.0,96010.0,12646.0,279085.0,27.704423488190105,25.812308190943067,71.96214071420485,73.87016236035288,96010.0,279085.0,-183075.0
29,19482.97368632429,18502.0,-980.9736863242906,-5.035030597063664,12378.378471908307,12008.0,-370.3784719083069,-2.9921404709740442,846382.6478417674,847734.0,1351.352158232592,18502.0,0.0,12008.0,0.0,2.2184010008977335,2.106703831736966,1.4094464034947356,1.3672737872390817,333977.45030705765,313334.0,-20643.450307057647,-6.1810910551230736,478116.9734392168,498820.0,20703.02656078321,4.330117463067895,1766.576253725565,1707.0,-59.57625372556504,18502.0,294832.0,12008.0,486812.0,41.03617820574492,38.499694665305256,58.7467606187318,61.29056435927019,294832.0,486812.0,-191980.0
30,2773.0,2773.0,0.0,0.0,18400.0,18400.0,0.0,0.0,446717.0,446717.0,0.0,2773.0,0.0,18400.0,0.0,0.5926606681057514,0.5926606681057514,3.9325482485199514,3.9325482485199514,6456.0,6456.0,0.0,0.0,456376.0,456376.0,0.0,0.0,573.0,573.0,0.0,2773.0,3683.0,18400.0,437976.0,1.3931658052891098,1.3931658052891098,98.48318425567268,98.48318425567268,3683.0,437976.0,-434293.0
31,17442.19066866354,18501.0,1058.8093313364589,6.070391910339019,5358.760717613222,5487.0,128.23928238677763,2.393077227077515,446202.04861372325,445015.0,-1187.048613723251,18501.0,0.0,5487.0,0.0,3.718993411271045,3.944750886454884,1.1425855948924042,1.1699285505636425,306045.28433486685,294336.0,-11709.284334866854,-3.825997306351193,100236.84218339428,111887.0,11650.157816605715,11.622630524703158,1363.8734817388613,1423.0,59.1265182611387,18501.0,275835.0,5487.0,106400.0,75.07623877944756,72.20382390603612,24.58918821315413,27.44709870819289,275835.0,106400.0,169435.0
32,6596.919175268444,6517.0,-79.91917526844372,-1.2114620953377322,9936.402475216979,10207.0,270.5975247830211,2.723294728227201,379778.6783495146,379588.0,-190.67834951460827,6517.0,0.0,10207.0,0.0,1.6645771955601758,1.6444114737883284,2.5072171610289318,2.57549607380044,46473.9345990751,45894.0,-579.9345990751026,-1.2478706700392959,328247.2267269204,328835.0,587.7732730795979,0.1790642007673642,973.8386740044807,966.0,-7.838674004480708,6517.0,39377.0,10207.0,318628.0,12.370123264636234,12.215760124569131,87.37066682466373,87.52711641091842,39377.0,318628.0,-279251.0
33,2098.0,2098.0,0.0,0.0,6823.0,6823.0,0.0,0.0,338231.0,338231.0,0.0,2098.0,0.0,6823.0,0.0,0.6043462229801355,0.6043462229801355,1.965421486841499,1.965421486841499,15378.000000000002,15378.0,-1.8189894035458565e-12,-1.1828517385523841e-14,319536.0,319536.0,0.0,0.0,368.0,368.0,0.0,2098.0,13280.0,6823.0,312713.0,4.586586813488347,4.586586813488347,95.30365483384136,95.30365483384136,13280.0,312713.0,-299433.0
34,3709.927907886875,6188.0,2478.072092113125,66.79569397682991,1073.9358029915218,775.0,-298.93580299152177,-27.835537483601495,96087.13628912161,93908.0,-2179.136289121612,6188.0,0.0,775.0,0.0,3.6778934558861067,6.134567913473645,1.0646625918167976,0.7683080369977496,66606.14600585666,89003.0,22396.85399414334,33.62580683196111,33974.81910099421,11598.0,-22376.81910099421,-65.86295289601526,231.03489314913168,211.0,-20.034893149131676,6188.0,82815.0,775.0,10823.0,66.06966036370339,88.28611673213507,33.70116563602965,11.504582787763361,82815.0,10823.0,71992.0
35,3613.564302326915,4204.0,590.4356976730851,16.33942690027352,10385.653095376847,10227.0,-158.65309537684698,-1.5276178967259275,491859.7826022962,491428.0,-431.7826022962108,4204.0,0.0,10227.0,0.0,0.7143421985823944,0.8310616199375715,2.0530727130241524,2.0217096068271987,37574.75052491779,45243.0,7668.249475082208,20.40798506432395,454837.29739349504,447174.0,-7663.297393495042,-1.6848436655064518,745.9520815871656,741.0,-4.952081587165594,4204.0,41039.0,10227.0,436947.0,7.619211393694878,9.174138916939398,92.22952834456605,90.67560497852615,41039.0,436947.0,-395908.0
36,25719.62188827496,25480.0,-239.62188827495993,-0.9316695607574175,8545.024752829078,8170.0,-375.02475282907835,-4.38880826769888,681162.353358896,681777.0,614.6466411040165,25480.0,0.0,8170.0,0.0,3.5950029686152405,3.5615094202483273,1.1943950609676568,1.1419753517829212,463187.8110516771,486696.0,23508.188948322902,5.07530388050305,194185.54186226302,170866.0,-23319.541862263024,-12.008897077828646,1675.6470860598783,1487.0,-188.64708605987835,25480.0,461216.0,8170.0,162696.0,70.28124024946204,73.84822676310866,29.464507473991013,25.926145096950304,461216.0,162696.0,298520.0
37,6059.097220322963,7322.0,1262.902779677037,20.84308493088879,25660.88254078902,25058.0,-602.8825407890217,-2.3494224714629954,558944.0202388881,558284.0,-660.0202388881007,7322.0,0.0,25058.0,0.0,1.0258111583443317,1.2396218493085749,4.344412820281755,4.242344209228936,19254.36413287249,42641.0,23386.63586712751,121.46148117766245,562220.3995384051,538894.0,-23326.399538405123,-4.148977795461814,2783.236328722327,2723.0,-60.236328722327016,7322.0,35319.0,25058.0,513836.0,3.2955242603220647,7.29831683947845,96.22810462816172,92.23562193414553,35319.0,513836.0,-478517.0
38,26529.621949688517,26528.0,-1.6219496885169065,-0.006113730876349521,10145.865875711672,9722.0,-423.86587571167183,-4.177720077360476,769178.5121745998,769604.0,425.487825400196,26528.0,0.0,9722.0,0.0,3.2921127089632263,3.291911438052054,1.2590203530306572,1.2064220069640408,504010.6308945366,508560.0,4549.369105463382,0.9026335610002897,193753.63903529436,189192.0,-4561.639035294356,-2.354350121116127,1993.7300701690256,2006.0,12.269929830974434,26528.0,482032.0,9722.0,179470.0,72.026419261307,72.67655389434633,27.688663657335017,27.036775570983114,482032.0,179470.0,302562.0
