COUNTY,NEWSD,Republican_Count,Democrat_Count,Other_Count,Total_Count,Republican_Pct,Democrat_Pct,Other_Pct
BROWN,10,1657,37,23904,25598,6.473161965778576,0.14454254238612393,93.3822954918353
BURLESON,18,734,111,13042,13887,5.285518830560957,0.7993087059840137,93.91517246345504
BURNET,24,2256,332,36711,39299,5.74060408661798,0.8448052113285325,93.41459070205349
CALDWELL,21,911,480,25791,27182,3.351482598778603,1.765874475756015,94.88264292546538
CALHOUN,18,611,83,12569,13263,4.606800874613587,0.6258011008067557,94.76739802457966
CALLAHAN,10,679,18,9753,10450,6.497607655502392,0.17224880382775118,93.33014354066985
CAMERON,27,1302,5089,232117,238508,0.5458936387877975,2.1336810505307997,97.3204253106814
CAMP,1,510,81,7857,8448,6.036931818181818,0.9588068181818182,93.00426136363636
CARSON,31,288,4,4007,4299,6.699232379623169,0.09304489416143288,93.20772272621541
CASS,1,1291,73,20499,21863,5.904953574532315,0.33389745231669943,93.76114897315098
CASTRO,31,156,21,3525,3702,4.213938411669368,0.5672609400324149,95.21880064829821
CHAMBERS,4,2377,126,34653,37156,6.397351706319303,0.3391107761868877,93.26353751749382
CHEROKEE,3,2242,221,29840,32303,6.940531839148066,0.6841469832523295,92.3753211775996
CHILDRESS,28,276,4,3526,3806,7.251707829742513,0.10509721492380451,92.64319495533368
CLAY,30,563,13,7734,8310,6.77496991576414,0.15643802647412755,93.06859205776173
COCHRAN,31,62,2,1614,1678,3.6948748510131106,0.11918951132300357,96.18593563766389
COKE,31,172,3,2273,2448,7.026143790849673,0.12254901960784313,92.85130718954248
COLEMAN,28,622,16,5519,6157,10.10232255968816,0.25986681825564395,89.6378106220562
COLLIN,2,1614,1268,53325,56207,2.8715284573095876,2.2559467681961323,94.87252477449428
COLLIN,8,19655,7643,587878,615176,3.195020611987464,1.2424086765413476,95.56257071147118
COLLIN,30,1434,740,78213,80387,1.783870526328884,0.9205468545909165,97.29558261908021
COLLINGSWORTH,28,186,3,1703,1892,9.830866807610994,0.15856236786469344,90.01057082452432
COLORADO,17,1110,88,13626,14824,7.487857528332434,0.5936319481921208,91.91851052347545
COMAL,25,6910,1310,135797,144017,4.798044675281391,0.9096148371372823,94.29234048758133
COMANCHE,22,733,28,9297,10058,7.2877311592761975,0.27838536488367466,92.43388347584013
CONCHO,28,141,6,1653,1800,7.833333333333334,0.33333333333333337,91.83333333333333
COOKE,30,1547,96,28617,30260,5.112359550561798,0.3172504957038995,94.5703899537343
CORYELL,24,1816,222,45071,47109,3.854889723831964,0.4712475323186653,95.67386274384937
COTTLE,28,130,4,861,995,13.06532663316583,0.4020100502512563,86.53266331658291
CRANE,31,237,2,2438,2677,8.853193873739261,0.0747104968248039,91.07209562943594
CROCKETT,19,72,36,2188,2296,3.1358885017421603,1.5679442508710801,95.29616724738676
CROSBY,28,177,8,3457,3642,4.85996705107084,0.21965952773201539,94.92037342119714
CULBERSON,29,4,296,1404,1704,0.2347417840375587,17.370892018779344,82.3943661971831
DALLAM,31,116,2,2751,2869,4.043220634367375,0.06971070059254096,95.88706866504009
DALLAS,2,5510,5159,241588,252257,2.1842803172954564,2.0451365076093033,95.77058317509524
DALLAS,12,6285,5207,210290,221782,2.833863884354907,2.3478009937686557,94.81833512187644
DALLAS,16,6726,10370,460482,477578,1.4083563313217944,2.171373053197593,96.4202706154806
DALLAS,23,3238,20828,496099,520165,0.6224947853085079,4.004114079186412,95.37339113550509
DAWSON,31,420,3,6366,6789,6.18647812638091,0.04418912947414936,93.76933274414495
DE WITT,18,713,38,10643,11394,6.257679480428295,0.3335088643145515,93.40881165525715
DEAF SMITH,31,521,15,8242,8778,5.935292777398041,0.17088174982911825,93.89382547277285
