COUNTY,NEWSD,Democrat,Republican,Swing,Unknown,All
TYLER,3,51,1117,29,13699,14896
UPSHUR,1,133,1598,58,28699,30488
UPTON,31,3,261,14,1832,2110
UVALDE,19,328,465,274,16908,17975
VAL VERDE,19,619,438,244,28861,30162
VAN ZANDT,2,104,2412,44,39368,41928
VICTORIA,18,385,2662,90,55080,58217
WALKER,5,279,2436,136,36219,39070
WALLER,17,71,410,11,14872,15364
WALLER,18,260,1041,36,27413,28750
WARD,31,36,355,105,6565,7061
WASHINGTON,18,268,2297,88,23208,25861
WEBB,21,6850,241,686,140840,148617
WHARTON,17,195,1954,43,24275,26467
WHEELER,28,4,462,4,2950,3420
WICHITA,0,0,0,0,2,2
WICHITA,28,188,2356,79,45852,48475
WICHITA,30,181,1274,36,30144,31635
WILBARGER,28,34,342,13,7745,8134
WILLACY,27,445,36,66,11142,11689
WILLIAMSON,5,4384,9194,1018,284625,299221
WILLIAMSON,24,2835,2980,503,141369,147687
WILSON,21,232,1853,85,37012,39182
WINKLER,31,3,203,4,3869,4079
WISE,12,170,2964,91,52759,55984
WOOD,1,166,2397,54,33051,35668
YOAKUM,31,1,463,10,3830,4304
YOUNG,30,34,994,16,11385,12429
ZAPATA,21,1209,10,31,6957,8207
ZAVALA,19,864,5,21,6936,7826
All,,308646,544740,46991,17764572,18664949
