COUNTY,NEWCD,Democrat,Republican,Swing,Unknown,All
POTTER,13,323,2625,129,56754,59831
PRESIDIO,23,519,10,54,3862,4445
RAINS,4,42,611,17,8756,9426
RANDALL,13,347,5883,210,93921,100361
REAGAN,23,1,151,3,1654,1809
REAL,21,15,321,12,2356,2704
RED RIVER,0,0,0,0,1,1
RED RIVER,1,48,305,15,5914,6282
RED RIVER,4,15,163,9,2304,2491
REEVES,23,565,20,47,7225,7857
REFUGIO,27,50,246,38,4619,4953
ROBERTS,13,0,126,0,597,723
ROBERTSON,17,101,1066,78,11371,12616
ROCKWALL,4,713,4107,251,83177,88248
RUNNELS,11,12,552,9,6256,6829
RUSK,1,203,2013,73,32138,34427
SABINE,1,36,688,23,7732,8479
SAN AUGUSTINE,1,49,358,12,5646,6065
SAN JACINTO,8,102,1603,28,18793,20526
SAN PATRICIO,27,441,1306,112,43513,45372
SAN SABA,11,6,492,5,3300,3803
SCHLEICHER,23,23,169,12,1532,1736
SCURRY,19,20,719,13,8648,9400
SHACKELFORD,19,3,231,4,2205,2443
SHELBY,1,41,1089,36,15229,16395
SHERMAN,13,1,149,1,1301,1452
SMITH,1,1656,8968,300,151278,162202
SOMERVELL,25,28,757,27,6623,7435
STARR,28,1033,28,264,35146,36471
STEPHENS,25,5,580,5,5319,5909
STERLING,11,2,132,1,739,874
STONEWALL,19,5,59,21,872,957
SUTTON,23,11,344,11,1988,2354
SWISHER,19,11,290,14,3594,3909
TARRANT,6,1349,1411,143,83207,86110
TARRANT,12,5725,11743,1075,415446,433989
TARRANT,24,4146,14094,1157,334280,353677
TARRANT,25,4396,6146,642,226899,238083
TARRANT,26,0,0,0,18,18
TARRANT,30,795,261,31,31017,32104
TARRANT,33,3816,1079,197,163499,168591
TAYLOR,19,306,3402,193,86272,90173
TERRELL,23,23,26,38,539,626
TERRY,19,12,473,13,5923,6421
THROCKMORTON,19,2,112,0,1109,1223
TITUS,1,122,1326,59,16579,18086
TOM GREEN,11,308,3062,135,69294,72799
TRAVIS,0,1,0,0,50,51
TRAVIS,10,2796,3383,586,138804,145569
TRAVIS,17,895,393,106,47809,49203
TRAVIS,21,840,512,163,19781,21296
TRAVIS,35,4918,594,253,187769,193534
TRAVIS,37,23980,4885,2540,487315,518720
TRINITY,17,72,1091,41,11119,12323
TYLER,36,51,1117,29,13699,14896
UPSHUR,0,0,0,0,2,2
UPSHUR,1,88,1120,41,18755,20004
UPSHUR,5,45,478,17,9942,10482
UPTON,23,3,261,14,1832,2110
UVALDE,23,328,465,274,16908,17975
VAL VERDE,23,619,438,244,28861,30162
VAN ZANDT,5,104,2412,44,39368,41928
VICTORIA,27,385,2662,90,55080,58217
WALKER,0,0,0,0,22,22
WALKER,8,118,1165,62,11904,13249
WALKER,17,161,1271,74,24293,25799
WALLER,10,331,1451,47,42285,44114
WARD,23,36,355,105,6565,7061
WASHINGTON,10,268,2297,88,23208,25861
WEBB,28,6850,241,686,140840,148617
WHARTON,22,195,1954,43,24275,26467
WHEELER,13,4,462,4,2950,3420
WICHITA,13,369,3630,115,75998,80112
WILBARGER,13,34,342,13,7745,8134
WILLACY,34,445,36,66,11142,11689
WILLIAMSON,10,686,785,163,30034,31668
WILLIAMSON,17,847,909,131,51271,53158
WILLIAMSON,31,4771,10004,1111,309559,325445
WILLIAMSON,37,915,476,116,35130,36637
WILSON,15,232,1853,85,37012,39182
WINKLER,23,3,203,4,3869,4079
WISE,13,60,1153,36,16176,17425
WISE,26,110,1811,55,36583,38559
WOOD,5,166,2397,54,33051,35668
YOAKUM,19,1,463,10,3830,4304
YOUNG,25,34,994,16,11385,12429
ZAPATA,28,1209,10,31,6957,8207
ZAVALA,23,864,5,21,6936,7826
All,,308646,544740,46991,17764572,18664949
