COUNTY,2026_CD,Democrat,Republican,Swing,Unknown,All
KLEBERG,17.0,376,434,134,17797,18741
KNOX,11.0,4,57,2,2166,2229
LA SALLE,27.0,668,14,53,3482,4217
LAMAR,4.0,151,1862,106,31075,33194
LAMB,1.0,17,353,13,7519,7902
LAMPASAS,17.0,125,1153,50,15655,16983
LAVACA,27.0,48,1083,29,13334,14494
LEE,19.0,80,928,33,11160,12201
LEON,27.0,38,934,17,11693,12682
LIBERTY,36.0,208,3038,124,51324,54694
LIMESTONE,21.0,56,884,43,10479,11462
LIMESTONE,35.0,19,182,13,2797,3011
LIPSCOMB,13.0,1,144,1,1676,1822
LIVE OAK,1.0,34,478,14,7269,7795
LLANO,11.0,126,1151,59,8742,10078
LLANO,31.0,77,685,35,7622,8419
LOVING,15.0,5,9,6,109,129
LUBBOCK,16.0,1119,8435,465,184153,194172
LUBBOCK,23.0,18,247,14,3116,3395
LYNN,14.0,4,130,3,4251,4388
MADISON,35.0,5,440,10,3870,4325
MADISON,37.0,11,323,15,3804,4153
MARION,3.0,53,366,16,7412,7847
MARTIN,27.0,1,312,5,3191,3509
MASON,35.0,14,205,18,1444,1681
MASON,37.0,6,188,7,1410,1611
MATAGORDA,22.0,172,1373,78,20822,22445
MAVERICK,4.0,2824,64,226,32834,35948
MCCULLOCH,17.0,14,579,15,4833,5441
MCLENNAN,14.0,965,4669,276,114807,120717
MCLENNAN,36.0,295,1446,76,37309,39126
MCMULLEN,28.0,1,59,4,579,643
MEDINA,23.0,281,2232,78,36026,38617
MENARD,13.0,3,259,4,1253,1519
MIDLAND,11.0,268,4668,101,94238,99275
MILAM,17.0,122,1488,74,15540,17224
MILLS,14.0,10,634,11,2982,3637
MITCHELL,1.0,5,315,5,4213,4538
MONTAGUE,1.0,29,1096,29,14527,15681
MONTGOMERY,16.0,2234,18958,718,425072,446982
MONTGOMERY,23.0,26,436,9,8099,8570
MOORE,19.0,5,681,4,9458,10148
MORRIS,9.0,7,37,1,1080,1125
MORRIS,18.0,21,212,17,3097,3347
MORRIS,29.0,11,10,0,752,773
MORRIS,36.0,25,63,6,2360,2454
MORRIS,38.0,5,30,1,1266,1302
MOTLEY,17.0,1,116,0,736,853
NACOGDOCHES,10.0,333,2580,173,36985,40071
NAVARRO,6.0,160,1828,68,30910,32966
NEWTON,16.0,29,601,55,8819,9504
NOLAN,28.0,21,436,14,8024,8495
NUECES,3.0,2026,2901,324,141765,147016
NUECES,4.0,724,636,77,45323,46760
NUECES,32.0,362,474,62,24552,25450
OCHILTREE,19.0,4,463,6,4744,5217
OLDHAM,13.0,1,146,1,1196,1344
ORANGE,1.0,250,3117,119,52858,56344
PALO PINTO,3.0,53,991,46,13177,14267
PALO PINTO,4.0,17,270,13,4095,4395
PALO PINTO,32.0,7,102,6,1619,1734
PANOLA,5.0,90,1411,40,16366,17907
PARKER,12.0,369,5693,194,91690,97946
PARKER,25.0,118,1633,55,28096,29902
PARMER,13.0,3,196,1,4370,4570
PECOS,19.0,127,311,115,7793,8346
POLK,10.0,135,2268,64,42066,44533
POTTER,13.0,323,2625,129,56754,59831
PRESIDIO,6.0,274,9,40,2160,2483
PRESIDIO,17.0,245,1,14,1701,1961
RAINS,21.0,42,611,17,8749,9419
RANDALL,13.0,347,5883,210,93921,100361
REAGAN,19.0,1,151,3,1654,1809
REAL,1.0,15,321,12,2356,2704
RED RIVER,1.0,48,305,15,5915,6283
RED RIVER,4.0,15,163,9,2304,2491
REEVES,6.0,350,11,29,4105,4495
REEVES,17.0,215,9,18,3120,3362
REFUGIO,27.0,50,246,38,4619,4953
ROBERTS,13.0,0,126,0,597,723
ROBERTSON,27.0,101,1066,78,11371,12616
ROCKWALL,4.0,713,4107,251,83177,88248
RUNNELS,17.0,12,552,9,6255,6828
RUSK,7.0,61,323,15,6128,6527
RUSK,8.0,1,117,6,1056,1180
RUSK,9.0,13,104,5,2507,2629
RUSK,18.0,19,230,5,4057,4311
RUSK,29.0,24,472,17,4716,5229
RUSK,36.0,24,255,6,3886,4171
RUSK,38.0,61,508,19,9762,10350
SABINE,17.0,36,688,23,7732,8479
SAN AUGUSTINE,23.0,49,358,12,5645,6064
SAN JACINTO,36.0,102,1603,28,18793,20526
SAN PATRICIO,2.0,16,55,3,1844,1918
SAN PATRICIO,7.0,3,7,0,108,118
SAN PATRICIO,8.0,40,138,4,3308,3490
SAN PATRICIO,18.0,100,524,28,16951,17603
SAN PATRICIO,29.0,73,98,11,6802,6984
SAN PATRICIO,36.0,28,65,8,3104,3205
SAN PATRICIO,38.0,181,419,58,11395,12053
SAN SABA,4.0,6,492,5,3300,3803
SCHLEICHER,23.0,23,169,12,1532,1736
SCURRY,27.0,20,719,13,8648,9400
SHACKELFORD,13.0,3,231,4,2204,2442
SHELBY,1.0,41,1089,36,15224,16390
SHERMAN,18.0,0,86,1,651,738
SHERMAN,29.0,0,24,0,198,222
SHERMAN,36.0,1,39,0,452,492
SMITH,17.0,1656,8968,300,151273,162197
SOMERVELL,13.0,28,757,27,6623,7435
STARR,15.0,1032,28,264,35077,36401
STEPHENS,2.0,1,251,1,2632,2885
