COUNTY,NEWHD,Republican_Count,Democrat_Count,Other_Count,Total_Count,Republican_Pct,Democrat_Pct,Other_Pct
HARRIS,126,3830,1432,121560,126822,3.019980760435886,1.1291416315781173,95.85087760798599
HARRIS,127,4658,1757,138720,145135,3.209425707100286,1.2105970303510525,95.57997726254867
HARRIS,128,3281,922,109823,114026,2.8774139231403364,0.8085875151281288,96.31399856173154
HARRIS,129,3541,2043,130642,136226,2.599356950949158,1.4997137110390086,95.90092933801184
HARRIS,130,3713,1106,132566,137385,2.7026240128107144,0.8050369399861703,96.49233904720312
HARRIS,131,353,2854,89494,92701,0.3807941661902245,3.0787154399628913,96.5404903938469
HARRIS,132,2992,1408,137554,141954,2.1077250376882652,0.9918706059709483,96.90040435634079
HARRIS,133,4564,2063,112805,119432,3.821421394601112,1.7273427557103624,94.45123584968853
HARRIS,134,3152,5308,142830,151290,2.083415956110781,3.508493621521581,94.40809042236764
HARRIS,135,1044,1229,114814,117087,0.8916446744728279,1.0496468437999096,98.05870848172727
HARRIS,137,737,968,63310,65015,1.1335845574098284,1.4888871798815657,97.37752826270861
HARRIS,138,3825,1827,114359,120011,3.1872078392813994,1.5223604502920567,95.29043171042655
HARRIS,139,908,3594,109387,113889,0.7972675148609611,3.1557042383373286,96.04702824680172
HARRIS,140,272,653,73657,74582,0.36469925719342466,0.8755463784827439,98.75975436432383
HARRIS,141,254,1980,89140,91374,0.2779784183684637,2.166918379407709,97.55510320222382
HARRIS,142,487,2342,99703,102532,0.47497366675769515,2.2841649436273554,97.24086138961495
HARRIS,143,531,1398,84998,86927,0.610857386082575,1.6082459995168361,97.78089661440059
HARRIS,144,890,747,88498,90135,0.9874077772230544,0.8287568647029456,98.183835358074
HARRIS,145,740,3026,106630,110396,0.6703141418167324,2.741041342077611,96.58864451610566
HARRIS,146,811,4035,101840,106686,0.7601747183323022,3.782126989483156,95.45769829218455
HARRIS,147,476,3875,120818,125169,0.3802858535260328,3.0958144588516325,96.52389968762233
HARRIS,148,1388,1423,96737,99548,1.3943022461526098,1.4294611644633743,97.17623658938402
HARRIS,149,817,1072,97835,99724,0.8192611608038185,1.0749669086679234,98.10577193052826
HARRIS,150,3043,1112,125192,129347,2.3525864534933163,0.8597029695315702,96.78771057697512
HARRISON,7,2567,402,44463,47432,5.411958171698431,0.8475290942823409,93.74051273401923
HARTLEY,86,229,6,2618,2853,8.026638626007712,0.2103049421661409,91.76305643182616
HASKELL,69,101,17,3333,3451,2.9266879165459287,0.49261083743842365,96.58070124601565
HAYS,0,0,0,6,6,0.0,0.0,100.0
HAYS,45,2307,3201,143242,148750,1.5509243697478992,2.1519327731092437,96.29714285714286
HAYS,73,1750,1110,34446,37306,4.6909344341392805,2.9753926982254866,92.33367286763523
