COUNTY,2026_SD,Democrat,Republican,Swing,Unknown,All
MORRIS,21.0,69,352,25,8555,9001
MOTLEY,3.0,1,116,0,736,853
NACOGDOCHES,29.0,333,2580,173,36985,40071
NAVARRO,2.0,160,1828,68,30910,32966
NEWTON,2.0,29,601,55,8819,9504
NOLAN,27.0,21,436,14,8024,8495
NUECES,20.0,2632,2848,350,163116,168946
NUECES,27.0,480,1163,113,48524,50280
OCHILTREE,17.0,4,463,6,4744,5217
OLDHAM,31.0,1,146,1,1196,1344
ORANGE,2.0,250,3117,119,52858,56344
PALO PINTO,1.0,77,1363,65,18891,20396
PANOLA,8.0,90,1411,40,16366,17907
PARKER,4.0,7,136,4,3200,3347
PARKER,6.0,67,1007,37,18211,19322
PARKER,7.0,85,1618,56,22616,24375
PARKER,11.0,25,351,10,4293,4679
PARKER,13.0,85,1208,45,24965,26303
PARKER,15.0,112,1969,65,29159,31305
PARKER,17.0,106,1037,32,17342,18517
PARMER,28.0,3,196,1,4370,4570
PECOS,4.0,1,2,0,147,150
PECOS,6.0,94,193,94,5121,5502
PECOS,13.0,28,29,20,1692,1769
PECOS,15.0,4,87,1,833,925
POLK,3.0,135,2268,64,42066,44533
POTTER,6.0,55,514,22,10475,11066
POTTER,7.0,48,303,16,6604,6971
POTTER,13.0,60,109,5,11966,12140
POTTER,15.0,150,1441,83,25748,27422
POTTER,17.0,10,258,3,1961,2232
PRESIDIO,29.0,519,10,54,3861,4444
RAINS,24.0,42,611,17,8749,9419
RANDALL,4.0,9,199,4,3906,4118
RANDALL,6.0,26,712,20,12468,13226
RANDALL,7.0,75,704,32,19701,20512
RANDALL,11.0,37,681,16,11491,12225
RANDALL,13.0,130,2217,96,29444,31887
RANDALL,15.0,53,989,23,13683,14748
RANDALL,17.0,17,381,19,3228,3645
REAGAN,21.0,1,151,3,1654,1809
REAL,3.0,15,321,12,2356,2704
RED RIVER,1.0,63,468,24,8218,8773
RED RIVER,3.0,0,0,0,1,1
REEVES,3.0,565,20,47,7225,7857
REFUGIO,18.0,50,246,38,4619,4953
ROBERTS,31.0,0,126,0,597,723
ROBERTSON,3.0,101,1066,78,11371,12616
ROCKWALL,2.0,713,4107,251,83177,88248
RUNNELS,3.0,12,552,9,6255,6828
RUSK,1.0,203,2009,73,32112,34397
SABINE,21.0,36,688,23,7732,8479
SAN AUGUSTINE,1.0,49,358,12,5645,6064
SAN JACINTO,5.0,102,1603,28,18793,20526
SAN PATRICIO,4.0,18,67,4,2314,2403
SAN PATRICIO,6.0,129,355,29,14345,14858
SAN PATRICIO,7.0,153,249,44,8245,8691
SAN PATRICIO,13.0,15,61,9,1675,1760
SAN PATRICIO,15.0,60,270,8,10521,10859
SAN PATRICIO,17.0,66,304,18,6412,6800
SAN SABA,2.0,6,492,5,3300,3803
SCHLEICHER,19.0,23,169,12,1532,1736
SCURRY,4.0,18,615,10,7739,8382
SCURRY,7.0,2,56,3,437,498
SCURRY,18.0,0,48,0,472,520
SHACKELFORD,24.0,3,231,4,2204,2442
SHELBY,3.0,41,1089,36,15224,16390
SHERMAN,28.0,1,149,1,1301,1452
SMITH,5.0,1656,8968,300,151273,162197
SOMERVELL,31.0,28,757,27,6623,7435
STARR,2.0,1032,28,264,35077,36401
STEPHENS,10.0,5,580,5,5317,5907
STERLING,31.0,2,132,1,739,874
STONEWALL,1.0,5,59,21,872,957
SUTTON,25.0,11,344,11,1988,2354
SWISHER,24.0,11,290,14,3594,3909
TARRANT,9.0,6690,17853,1475,594730,620748
TARRANT,10.0,8071,8568,894,344121,361654
TARRANT,12.0,1106,4194,402,68181,73883
TARRANT,22.0,3216,3751,426,197029,204422
TARRANT,23.0,1144,368,48,50305,51865
TAYLOR,28.0,306,3402,193,86272,90173
TERRELL,31.0,23,26,38,539,626
TERRY,18.0,12,473,13,5921,6419
THROCKMORTON,28.0,2,112,0,1099,1213
TITUS,1.0,122,1326,59,16577,18084
TOM GREEN,4.0,6,23,2,329,360
TOM GREEN,6.0,39,719,23,11933,12714
TOM GREEN,7.0,34,308,12,9023,9377
TOM GREEN,11.0,23,115,4,4197,4339
TOM GREEN,13.0,95,917,36,20080,21128
TOM GREEN,15.0,68,748,30,17757,18603
TOM GREEN,17.0,43,232,28,5975,6278
TRAVIS,4.0,1110,254,111,29311,30786
TRAVIS,6.0,9355,2905,1123,226808,240191
TRAVIS,7.0,3011,544,234,97676,101465
TRAVIS,11.0,2403,693,266,63407,66769
TRAVIS,13.0,7038,1851,768,184392,194049
TRAVIS,15.0,7745,2815,899,194428,205887
TRAVIS,17.0,2696,690,244,80718,84348
TRAVIS,18.0,71,15,3,4738,4827
TRINITY,8.0,72,1091,41,11119,12323
TYLER,3.0,51,1117,29,13687,14884
UPSHUR,27.0,133,1598,58,28697,30486
UPTON,5.0,3,261,14,1832,2110
UVALDE,11.0,194,158,137,8383,8872
UVALDE,17.0,134,307,137,8522,9100
VAL VERDE,19.0,619,438,244,28852,30153
VAN ZANDT,2.0,104,2412,44,39364,41924
VICTORIA,29.0,385,2662,90,55080,58217
WALKER,28.0,133,1187,52,15046,16418
WALKER,30.0,146,1249,84,21151,22630
