COUNTY,NEWCD,Republican_Count,Democrat_Count,Other_Count,Total_Count,Republican_Pct,Democrat_Pct,Other_Pct
JEFFERSON,36,929,1591,43659,46179,2.0117369367028304,3.445288984170294,94.54297407912688
JIM HOGG,28,4,584,2970,3558,0.11242270938729623,16.41371557054525,83.47386172006746
JIM WELLS,15,247,1440,24793,26480,0.9327794561933535,5.438066465256798,93.62915407854985
JOHNSON,6,1073,190,32935,34198,3.137610386572314,0.5555880460845664,96.30680156734311
JOHNSON,25,3783,446,90885,95114,3.9773324642008534,0.4689109910213008,95.55375654477784
JONES,19,395,26,10476,10897,3.6248508763879963,0.23859777920528588,96.13655134440671
KARNES,15,413,36,8018,8467,4.877760718081965,0.4251801110192512,94.69705917089878
KAUFMAN,5,4187,789,103279,108255,3.8677197358089694,0.7288346958570043,95.40344556833402
KENDALL,21,2711,324,36053,39088,6.935632419156774,0.8288988948014737,92.23546868604176
KENEDY,34,2,34,235,271,0.7380073800738007,12.546125461254611,86.71586715867159
KENT,19,48,6,546,600,8.0,1.0,91.0
KERR,21,3492,406,36321,40219,8.68246351227032,1.00947313458813,90.30806335314155
KIMBLE,11,452,10,2864,3326,13.58989777510523,0.30066145520144316,86.10944076969332
KING,13,22,0,143,165,13.333333333333334,0.0,86.66666666666667
KINNEY,23,286,22,1866,2174,13.155473781048757,1.011959521619135,85.8325666973321
KLEBERG,34,434,376,17931,18741,2.3157782402219733,2.0062963555840136,95.67792540419401
KNOX,13,57,4,2168,2229,2.557200538358008,0.1794526693584567,97.26334679228353
LA SALLE,23,14,668,3535,4217,0.3319895660422101,15.84064500829974,83.82736542565806
LAMAR,4,1862,151,31181,33194,5.609447490510333,0.45490148822076276,93.93565102126891
LAMB,19,353,17,7532,7902,4.467223487724627,0.21513540875727666,95.31764110351808
LAMPASAS,11,1153,125,15705,16983,6.789142083259731,0.7360301477948538,92.47482776894542
LAVACA,27,1083,48,13363,14494,7.472057403063337,0.33117151924934457,92.19677107768732
LEE,10,928,80,11193,12201,7.605933939840996,0.6556839603311204,91.73838209982789
LEON,17,934,38,11710,12682,7.364768963885822,0.2996372811859328,92.33559375492824
LIBERTY,36,3038,208,51455,54701,5.553828997641725,0.3802489899636204,94.06592201239465
LIMESTONE,17,1066,75,13332,14473,7.365439093484419,0.518206315207628,92.11635459130795
LIPSCOMB,13,144,1,1677,1822,7.903402854006586,0.054884742041712405,92.0417124039517
LIVE OAK,15,478,34,7283,7795,6.132135984605516,0.43617703656189866,93.43168697883259
LLANO,11,1836,203,16458,18497,9.92593393523274,1.0974752662593934,88.97659079850787
LOVING,23,9,5,115,129,6.976744186046512,3.875968992248062,89.14728682170544
LUBBOCK,19,8684,1137,187794,197615,4.394403258861929,0.5753611820965008,95.03023555904157
LYNN,19,130,4,4255,4389,2.961950330371383,0.09113693324219639,96.94691273638642
MADISON,10,763,16,7699,8478,8.999764095305498,0.1887237556027365,90.81151214909177
MARION,1,366,53,7428,7847,4.66420288008156,0.6754173569517014,94.66037976296674
MARTIN,19,312,1,3196,3509,8.891422057566258,0.028498147620404674,91.08007979481334
MASON,11,393,20,2879,3292,11.938031591737545,0.6075334143377886,87.45443499392466
