COUNTY,2026_SD,Republican_Count,Democrat_Count,Other_Count,Total_Count,Republican_Pct,Democrat_Pct,Other_Pct
DE WITT,24.0,713,38,10639,11390,6.259877085162422,0.33362598770851626,93.40649692712906
DEAF SMITH,22.0,521,15,8241,8777,5.935969009912271,0.17090121909536288,93.89312977099237
DELTA,30.0,390,9,3721,4120,9.466019417475728,0.2184466019417476,90.31553398058253
DENTON,12.0,11140,3525,313980,328645,3.389675789986155,1.0725859209785633,95.53773828903527
DENTON,30.0,8108,3406,323189,334703,2.4224461686928414,1.0176186051514329,96.55993522615573
DICKENS,3.0,148,5,1285,1438,10.292072322670375,0.34770514603616137,89.36022253129346
DIMMIT,5.0,13,933,5720,6666,0.19501950195019502,13.996399639963997,85.8085808580858
DONLEY,14.0,75,7,2328,2410,3.112033195020747,0.29045643153526973,96.59751037344398
DUVAL,24.0,13,919,7118,8050,0.16149068322981366,11.416149068322982,88.4223602484472
EASTLAND,5.0,886,22,11656,12564,7.051894301177969,0.17510347023241007,92.77300222858962
ECTOR,4.0,143,10,6643,6796,2.104178928781636,0.14714537963507945,97.74867569158329
ECTOR,6.0,1219,98,28135,29452,4.1389379329077824,0.33274480510661414,95.5283172619856
ECTOR,7.0,135,21,6826,6982,1.9335433973073617,0.30077341735892293,97.76568318533371
ECTOR,11.0,50,5,4173,4228,1.1825922421948913,0.11825922421948912,98.69914853358563
ECTOR,13.0,596,73,19537,20206,2.949618925071761,0.36127882807087003,96.68910224685737
ECTOR,15.0,452,60,13476,13988,3.231341149556763,0.42893909064912783,96.33971975979411
ECTOR,17.0,136,20,4981,5137,2.647459606774382,0.3893322951138797,96.96320809811174
EDWARDS,3.0,139,5,1355,1499,9.272848565710474,0.333555703802535,90.393595730487
EL PASO,4.0,195,660,16272,17127,1.1385531616745488,3.8535645472061653,95.00788229111929
EL PASO,6.0,1008,4157,170612,175777,0.57345386484011,2.364928289821763,97.06161784533812
EL PASO,7.0,152,742,38857,39751,0.3823803174762899,1.8666197076803097,97.7509999748434
EL PASO,11.0,117,501,13727,14345,0.8156151969327292,3.4925060996863015,95.69187870338098
EL PASO,13.0,519,1968,87110,89597,0.579260466310256,2.1965021150261728,97.22423741866358
EL PASO,15.0,972,3607,143752,148331,0.6552912068279726,2.431723645091046,96.91298514808098
EL PASO,17.0,134,591,30498,31223,0.42917080357428816,1.8928354097940623,97.67799378663165
EL PASO,18.0,20,227,7295,7542,0.26518164942985945,3.0098117210289046,96.72500662954123
ELLIS,4.0,129,34,4192,4355,2.9621125143513205,0.7807118254879449,96.25717566016073
ELLIS,6.0,1292,330,32044,33666,3.837699756430821,0.9802174300481198,95.18208281352106
ELLIS,7.0,484,148,11532,12164,3.978954291351529,1.2167050312397236,94.80434067740875
ELLIS,11.0,791,131,15861,16783,4.713102544241196,0.7805517487934219,94.50634570696538
ELLIS,13.0,1091,256,27101,28448,3.8350674915635548,0.8998875140607425,95.2650449943757
ELLIS,15.0,1321,337,33329,34987,3.7756881127275848,0.9632149083945465,95.26109697887787
ELLIS,17.0,178,89,7583,7850,2.267515923566879,1.1337579617834395,96.59872611464968
ELLIS,18.0,353,139,9000,9492,3.718921196797303,1.4643910661609776,94.81668773704172
ERATH,22.0,2147,101,23800,26048,8.24247542997543,0.38774570024570026,91.36977886977887
FALLS,17.0,364,75,10154,10593,3.436231473614651,0.7080147267063155,95.85575379967904
FANNIN,2.0,1485,96,23401,24982,5.9442798815146904,0.38427667920903047,93.67144343927627
FAYETTE,18.0,1801,141,16456,18398,9.789107511686053,0.7663876508316121,89.44450483748233
FISHER,18.0,117,19,2586,2722,4.298310066127847,0.698016164584864,95.00367376928729
FLOYD,11.0,46,0,771,817,5.630354957160343,0.0,94.36964504283965
FLOYD,17.0,308,5,2535,2848,10.814606741573034,0.17556179775280897,89.00983146067416
FOARD,6.0,25,3,340,368,6.7934782608695645,0.8152173913043478,92.3913043478261
FOARD,13.0,27,4,409,440,6.136363636363637,0.9090909090909091,92.95454545454545
FORT BEND,13.0,1618,5234,124362,131214,1.2331001265108907,3.9889036230889996,94.77799625040011
FORT BEND,17.0,6840,2529,176307,185676,3.6838363601111612,1.3620500226200478,94.95411361726879
FORT BEND,18.0,5604,3613,229655,238872,2.346026323721491,1.5125255366891055,96.1414481395894
FRANKLIN,30.0,557,34,7044,7635,7.295350360183366,0.4453176162409954,92.25933202357564
FREESTONE,20.0,897,85,12468,13450,6.669144981412639,0.6319702602230484,92.69888475836431
FRIO,1.0,83,707,8747,9537,0.8702946419209394,7.413232672748244,91.71647268533081
GAINES,28.0,583,11,9907,10501,5.551852204551948,0.1047519283877726,94.34339586706028
GALVESTON,4.0,179,20,2315,2514,7.120127287191726,0.7955449482895784,92.08432776451869
GALVESTON,11.0,8685,2881,232267,243833,3.5618640626986506,1.181546386256167,95.25658955104518
GARZA,29.0,227,6,2419,2652,8.559577677224736,0.22624434389140274,91.21417797888385
GILLESPIE,2.0,2280,252,19398,21930,10.39671682626539,1.149110807113543,88.45417236662107
GLASSCOCK,18.0,146,2,696,844,17.298578199052134,0.23696682464454977,82.46445497630332
GOLIAD,22.0,616,33,5199,5848,10.533515731874145,0.5642954856361149,88.90218878248974
GONZALES,28.0,962,42,12201,13205,7.285119273002651,0.31806134040136314,92.39681938659598
GRAY,17.0,922,6,11423,12351,7.464982592502631,0.048579062424095217,92.48643834507327
GRAYSON,30.0,4743,502,95136,100381,4.724997758539963,0.5000946394237953,94.77490760203624
GREGG,20.0,2026,545,47004,49575,4.086737266767524,1.0993444276348967,94.81391830559758
GREGG,27.0,1167,242,25415,26824,4.350581568744408,0.9021771547867581,94.74724127646883
GRIMES,20.0,743,64,13632,14439,5.1457857192326335,0.4432439919662026,94.41097028880117
GRIMES,27.0,311,45,6214,6570,4.7336377473363775,0.684931506849315,94.58143074581432
GUADALUPE,19.0,1196,238,23508,24942,4.7951246892791275,0.9542137759602278,94.25066153476065
GUADALUPE,21.0,803,96,14939,15838,5.0700846066422525,0.6061371385275919,94.32377825483016
GUADALUPE,25.0,2588,884,86731,90203,2.8690841768012154,0.9800117512721307,96.15090407192666
HALE,28.0,846,43,17352,18241,4.63790362370484,0.23573269009374487,95.12636368620142
HALL,17.0,78,6,1806,1890,4.1269841269841265,0.31746031746031744,95.55555555555556
HAMILTON,5.0,561,25,5694,6280,8.93312101910828,0.3980891719745223,90.6687898089172
HANSFORD,1.0,375,2,2633,3010,12.458471760797343,0.0664451827242525,87.47508305647841
HARDEMAN,31.0,88,5,2302,2395,3.674321503131524,0.20876826722338201,96.11691022964509
HARDIN,1.0,1383,72,41758,43213,3.2004257977923314,0.16661652743387406,96.63295767477379
HARRIS,4.0,6446,2312,207546,216304,2.9800650935720094,1.0688660403876025,95.95106886604039
HARRIS,6.0,2603,6324,416313,425240,0.6121249176935377,1.4871601918916377,97.90071489041482
HARRIS,7.0,14409,5806,559719,579934,2.4845930743843265,1.0011484065428133,96.51425851907285
HARRIS,11.0,5685,2585,197227,205497,2.7664637439962627,1.2579259064609216,95.97561034954282
HARRIS,13.0,1612,11174,357174,369960,0.43572278084117205,3.020326521786139,96.5439506973727
HARRIS,15.0,7181,15085,542753,565019,1.27093071206455,2.6698217228093215,96.05924756512613
HARRIS,17.0,7332,3863,228912,240107,3.0536385861303503,1.608866047220614,95.33749536664904
HARRIS,18.0,1039,1025,93268,95332,1.0898753828724876,1.0751898627952838,97.83493475433222
HARRISON,29.0,2567,402,44462,47431,5.412072273407687,0.8475469629567159,93.7403807636356
HARTLEY,31.0,229,6,2618,2853,8.026638626007712,0.2103049421661409,91.76305643182616
HASKELL,20.0,39,8,1402,1449,2.691511387163561,0.5521048999309869,96.75638371290545
HASKELL,27.0,62,9,1931,2002,3.096903096903097,0.4495504495504496,96.45354645354645
HAYS,4.0,51,185,6746,6982,0.73044972787167,2.6496705814952737,96.61987969063306
HAYS,6.0,887,914,49683,51484,1.7228653562271774,1.7753088338124465,96.50182580996038
HAYS,7.0,647,579,22573,23799,2.7186016219168874,2.4328753308962563,94.84852304718686
HAYS,11.0,176,144,2297,2617,6.725257928926251,5.50248376003057,87.77225831104319
HAYS,13.0,1133,1265,49388,51786,2.1878499980689763,2.4427451434750704,95.36940485845595
HAYS,15.0,754,819,27303,28876,2.611164981299349,2.8362654107217065,94.55256960797894
HAYS,17.0,409,405,19698,20512,1.9939547581903279,1.9744539781591262,96.03159126365055
HEMPHILL,25.0,268,5,2074,2347,11.418832552194292,0.21303792074989347,88.36812952705581
HENDERSON,3.0,3201,335,56166,59702,5.361629426149878,0.5611202304780409,94.07725034337207
HIDALGO,20.0,1365,8124,293882,303371,0.44994412781709525,2.67790922665647,96.87214664552644
HIDALGO,27.0,404,3453,139933,143790,0.28096529661311637,2.401418735656165,97.31761596773072
HILL,1.0,1320,110,25454,26884,4.909983633387888,0.4091653027823241,94.68085106382979
HOCKLEY,4.0,831,26,13152,14009,5.931900920836605,0.1855949746591477,93.88250410450425
HOOD,22.0,3790,189,47844,51823,7.313355074001891,0.364702931130965,92.32194199486715
HOPKINS,1.0,1308,98,24047,25453,5.138883432208384,0.3850233764192826,94.47609319137233
HOUSTON,27.0,1019,129,12789,13937,7.311473057329411,0.9255937432733014,91.7629331993973
HOWARD,31.0,745,52,15633,16430,4.534388314059647,0.31649421789409615,95.14911746804626
HUDSPETH,29.0,61,36,2115,2212,2.7576853526220613,1.62748643761302,95.61482820976492
HUNT,8.0,2841,269,69918,73028,3.8902886564057626,0.36835186503806755,95.74135947855616
HUTCHINSON,20.0,472,9,4839,5320,8.87218045112782,0.16917293233082706,90.95864661654134
HUTCHINSON,27.0,562,19,7573,8154,6.892322786362522,0.23301447142506743,92.87466274221241
IRION,14.0,133,2,1099,1234,10.777957860615883,0.1620745542949757,89.05996758508914
JACK,1.0,550,10,5309,5869,9.371272789231554,0.17038677798602828,90.4583404327824
JACKSON,1.0,623,30,9271,9924,6.277710600564289,0.3022974607013301,93.41999193873438
