COUNTY,2026_HD,Democrat,Republican,Swing,Unknown,All
ECTOR,150.0,9,110,3,4492,4614
EDWARDS,31.0,5,139,5,1350,1499
EL PASO,33.0,1107,301,91,33527,35026
EL PASO,61.0,1564,378,129,83105,85176
EL PASO,66.0,2076,399,140,68986,71601
EL PASO,67.0,2478,700,230,118192,121600
EL PASO,70.0,2756,609,238,103487,107090
EL PASO,89.0,2472,730,259,99739,103200
ELLIS,126.0,84,179,9,6879,7151
ELLIS,127.0,115,560,16,11635,12326
ELLIS,128.0,21,207,2,3934,4164
ELLIS,129.0,100,526,26,12918,13570
ELLIS,130.0,43,144,4,3380,3571
ELLIS,131.0,89,311,20,7873,8293
ELLIS,132.0,198,378,20,12921,13517
ELLIS,134.0,17,59,1,2109,2186
ELLIS,138.0,29,166,14,6919,7128
ELLIS,139.0,2,1,0,174,177
ELLIS,140.0,146,218,10,9150,9524
ELLIS,141.0,157,414,38,13169,13778
ELLIS,142.0,63,440,16,7249,7768
ELLIS,143.0,21,127,8,2527,2683
ELLIS,144.0,80,620,29,10667,11396
ELLIS,145.0,52,190,16,3652,3910
ELLIS,146.0,67,299,10,9139,9515
ELLIS,148.0,75,189,4,3620,3888
ELLIS,149.0,80,481,16,10424,11001
ELLIS,150.0,25,130,7,2037,2199
ERATH,77.0,34,636,20,7949,8639
ERATH,78.0,67,1511,43,15788,17409
FALLS,81.0,75,364,32,10122,10593
FANNIN,32.0,47,630,29,9777,10483
FANNIN,34.0,49,855,28,13567,14499
FAYETTE,85.0,141,1801,74,16382,18398
FISHER,13.0,19,117,12,2574,2722
FLOYD,83.0,0,121,2,904,1027
FLOYD,84.0,5,233,5,2395,2638
FOARD,86.0,7,52,93,656,808
FORT BEND,26.0,1509,4351,313,121545,127718
FORT BEND,27.0,5416,1635,236,130593,137880
FORT BEND,28.0,1871,5050,396,138983,146300
FORT BEND,76.0,2205,2448,275,118781,123709
FORT BEND,85.0,375,578,56,19146,20155
FRANKLIN,17.0,34,557,27,7017,7635
FREESTONE,25.0,59,741,34,9187,10021
FREESTONE,29.0,26,156,9,3238,3429
FRIO,36.0,91,36,26,2815,2968
FRIO,39.0,342,10,19,2755,3126
FRIO,40.0,142,18,21,1076,1257
FRIO,41.0,132,19,18,2017,2186
GAINES,9.0,11,583,13,9894,10501
GALVESTON,23.0,1379,3046,360,93428,98213
GALVESTON,24.0,1522,5818,359,140435,148134
GARZA,13.0,6,227,10,2409,2652
GILLESPIE,128.0,15,278,9,1981,2283
GILLESPIE,134.0,10,65,0,832,907
GILLESPIE,137.0,1,47,3,376,427
GILLESPIE,141.0,27,332,22,2568,2949
GILLESPIE,143.0,50,511,27,3472,4060
GILLESPIE,145.0,105,857,59,7841,8862
GILLESPIE,147.0,28,139,13,1544,1724
GILLESPIE,150.0,16,51,2,649,718
GLASSCOCK,9.0,2,146,0,696,844
GOLIAD,3.0,5,40,2,632,679
GOLIAD,15.0,5,186,4,1103,1298
GOLIAD,16.0,21,346,33,3069,3469
GOLIAD,18.0,2,44,1,355,402
GONZALES,23.0,42,962,47,12154,13205
GRAY,87.0,6,922,16,11407,12351
GRAYSON,62.0,502,4743,291,94845,100381
GREGG,12.0,429,1008,51,20902,22390
GREGG,14.0,358,2185,79,51387,54009
GRIMES,32.0,58,353,14,7966,8391
GRIMES,34.0,51,701,22,11844,12618
GUADALUPE,44.0,1218,4587,226,124952,130983
HALE,126.0,2,59,2,628,691
HALE,128.0,1,39,0,997,1037
HALE,129.0,0,16,1,428,445
HALE,130.0,1,35,3,950,989
HALE,131.0,3,74,3,1152,1232
HALE,133.0,0,14,0,328,342
HALE,134.0,2,136,7,3389,3534
HALE,135.0,5,121,2,1011,1139
HALE,137.0,4,60,3,858,925
