new_district,old_district,party,voter_count
13,14,Republican,1303
13,14,Swing,673
13,14,Unknown,143701
13,18,Democrat,117
13,18,Republican,821
13,18,Swing,36
13,18,Unknown,11633
13,19,Democrat,16
13,19,Republican,189
13,19,Swing,8
13,19,Unknown,3751
13,21,Democrat,1231
13,21,Republican,637
13,21,Swing,147
13,21,Unknown,63319
13,22,Democrat,136
13,22,Republican,618
13,22,Swing,30
13,22,Unknown,14645
13,24,Democrat,853
13,24,Republican,1596
13,24,Swing,155
13,24,Unknown,52727
13,25,Democrat,988
13,25,Republican,1247
13,25,Swing,173
13,25,Unknown,32186
13,28,Democrat,251
13,28,Republican,1869
13,28,Swing,142
13,28,Unknown,42879
13,29,Democrat,1968
13,29,Republican,519
13,29,Swing,194
13,29,Unknown,86916
13,30,Democrat,49
13,30,Republican,518
13,30,Swing,14
13,30,Unknown,13742
13,31,Democrat,136
13,31,Republican,737
13,31,Swing,34
13,31,Unknown,32570
14,5,Democrat,16
14,5,Republican,763
14,5,Swing,25
14,5,Unknown,7674
14,28,Democrat,7
14,28,Republican,75
14,28,Swing,3
14,28,Unknown,2325
14,31,Democrat,2
14,31,Republican,133
14,31,Swing,8
14,31,Unknown,1091
15,2,Democrat,403
15,2,Republican,1042
15,2,Swing,82
15,2,Unknown,27720
15,4,Democrat,682
15,4,Republican,4945
15,4,Swing,202
15,4,Unknown,109060
15,5,Democrat,509
15,5,Republican,1051
15,5,Swing,117
15,5,Unknown,45039
15,7,Democrat,58
15,7,Republican,508
15,7,Swing,19
15,7,Unknown,13759
15,8,Democrat,2249
15,8,Republican,6400
15,8,Swing,620
15,8,Unknown,179734
15,10,Democrat,72
15,10,Republican,1494
15,10,Swing,49
15,10,Unknown,20953
15,14,Democrat,6350
15,14,Republican,1433
15,14,Swing,680
15,14,Unknown,133348
15,15,Democrat,15085
15,15,Republican,7181
15,15,Swing,1325
15,15,Unknown,541428
15,18,Democrat,51
15,18,Republican,936
15,18,Swing,20
15,18,Unknown,16163
15,19,Democrat,32
15,19,Republican,108
15,19,Swing,7
15,19,Unknown,4994
15,21,Democrat,1280
15,21,Republican,613
15,21,Swing,146
15,21,Unknown,43212
15,22,Democrat,242
15,22,Republican,975
15,22,Swing,49
15,22,Unknown,23758
15,24,Democrat,817
15,24,Republican,790
15,24,Swing,154
15,24,Unknown,46189
15,25,Democrat,962
15,25,Republican,1633
15,25,Swing,213
15,25,Unknown,47379
15,28,Democrat,471
15,28,Republican,3241
15,28,Swing,188
15,28,Unknown,76270
15,29,Democrat,3607
15,29,Republican,972
15,29,Swing,313
15,29,Unknown,143439
15,30,Democrat,310
15,30,Republican,975
15,30,Swing,83
15,30,Unknown,31999
15,31,Democrat,213
15,31,Republican,2204
15,31,Swing,113
15,31,Unknown,43984
16,16,Democrat,10370
16,16,Republican,6726
16,16,Swing,1070
16,16,Unknown,459412
17,2,Democrat,27
17,2,Republican,301
17,2,Swing,11
17,2,Unknown,4104
17,4,Democrat,12
17,4,Republican,16
17,4,Swing,1
17,4,Unknown,4630
17,5,Democrat,450
17,5,Republican,964
17,5,Swing,99
17,5,Unknown,30095
17,8,Democrat,578
17,8,Republican,1164
17,8,Swing,141
17,8,Unknown,36520
17,10,Democrat,17
17,10,Republican,188
17,10,Swing,4
17,10,Unknown,1994
17,14,Democrat,2117
17,14,Republican,444
17,14,Swing,185
17,14,Unknown,59316
17,17,Democrat,6830
17,17,Republican,17909
17,17,Swing,1294
17,17,Unknown,464022
17,18,Democrat,17
17,18,Republican,235
17,18,Swing,7
17,18,Unknown,2017
17,21,Democrat,459
17,21,Republican,114
17,21,Swing,31
17,21,Unknown,17967
17,22,Democrat,154
17,22,Republican,469
17,22,Swing,35
17,22,Unknown,16360
17,24,Democrat,134
17,24,Republican,200
17,24,Swing,27
17,24,Unknown,7773
17,25,Democrat,551
17,25,Republican,589
17,25,Swing,93
17,25,Unknown,24883
17,28,Democrat,76
17,28,Republican,2204
17,28,Swing,52
17,28,Unknown,38499
17,29,Democrat,591
17,29,Republican,134
17,29,Swing,47
17,29,Unknown,30451
17,30,Democrat,106
17,30,Republican,908
17,30,Swing,33
17,30,Unknown,18603
17,31,Democrat,39
17,31,Republican,675
17,31,Swing,21
17,31,Unknown,12603
18,2,Democrat,37
18,2,Republican,28
18,2,Swing,2
18,2,Unknown,3113
18,3,Democrat,2
18,3,Republican,28
18,3,Unknown,482
18,4,Democrat,24
18,4,Republican,131
18,4,Swing,9
18,4,Unknown,2154
18,5,Democrat,151
18,5,Republican,1108
18,5,Swing,87
18,5,Unknown,15201
18,8,Democrat,142
18,8,Republican,397
18,8,Swing,47
18,8,Unknown,8652
18,10,Democrat,5
18,10,Republican,580
18,10,Swing,5
18,10,Unknown,5317
18,14,Democrat,71
18,14,Republican,15
18,14,Swing,3
18,14,Unknown,4738
18,18,Democrat,5236
18,18,Republican,11137
18,18,Swing,835
18,18,Unknown,389053
18,19,Democrat,864
18,19,Republican,5
18,19,Swing,21
18,19,Unknown,6935
18,20,Democrat,55
18,20,Republican,4
18,20,Swing,9
18,20,Unknown,1184
18,22,Democrat,181
18,22,Republican,1056
18,22,Swing,35
18,22,Unknown,18734
18,27,Democrat,203
18,27,Republican,80
18,27,Swing,30
18,27,Unknown,12783
18,28,Democrat,26
18,28,Republican,579
18,28,Swing,22
18,28,Unknown,9014
18,29,Democrat,266
18,29,Republican,207
18,29,Swing,55
18,29,Unknown,8586
18,31,Democrat,5
18,31,Republican,342
18,31,Swing,1
18,31,Unknown,5066
19,1,Democrat,39
19,1,Republican,183
19,1,Swing,8
19,1,Unknown,3849
19,5,Democrat,125
19,5,Republican,257
19,5,Swing,18
19,5,Unknown,5525
19,19,Democrat,7023
19,19,Republican,5773
19,19,Swing,735
19,19,Unknown,462804
19,28,Democrat,13
19,28,Republican,147
19,28,Swing,1
19,28,Unknown,2272
19,31,Democrat,9
19,31,Republican,798
19,31,Swing,13
19,31,Unknown,8378
20,1,Democrat,583
20,1,Republican,2245
20,1,Swing,106
20,1,Unknown,51293
20,3,Democrat,1908
20,3,Republican,1769
20,3,Swing,376
20,3,Unknown,68491
20,4,Democrat,733
20,4,Republican,501
20,4,Swing,76
20,4,Unknown,24097
20,5,Democrat,85
20,5,Republican,897
20,5,Swing,43
20,5,Unknown,12425
20,10,Democrat,480
20,10,Republican,3425
20,10,Swing,122
20,10,Unknown,95310
20,18,Democrat,64
20,18,Republican,743
20,18,Swing,26
20,18,Unknown,13606
20,20,Democrat,8684
20,20,Republican,1374
20,20,Swing,1255
20,20,Unknown,297009
20,21,Democrat,798
20,21,Republican,22
20,21,Swing,189
20,21,Unknown,21955
20,22,Democrat,28
20,22,Republican,757
20,22,Swing,27
20,22,Unknown,6623
20,28,Democrat,8
20,28,Republican,39
20,28,Swing,1
20,28,Unknown,1401
20,31,Democrat,9
20,31,Republican,472
20,31,Swing,8
20,31,Unknown,4831
21,21,Democrat,9182
21,21,Republican,3143
21,21,Swing,893
21,21,Unknown,214245
21,28,Democrat,19
21,28,Republican,941
21,28,Swing,16
21,28,Unknown,11759
21,30,Democrat,21
21,30,Republican,529
21,30,Swing,6
21,30,Unknown,6460
21,31,Democrat,5
21,31,Republican,304
21,31,Swing,5
21,31,Unknown,3008
22,1,Democrat,1656
22,1,Republican,8968
22,1,Swing,300
22,1,Unknown,151273
22,18,Democrat,418
22,18,Republican,3278
22,18,Swing,130
22,18,Unknown,60239
22,21,Democrat,34
22,21,Republican,478
22,21,Swing,14
22,21,Unknown,7269
22,22,Democrat,4766
22,22,Republican,15803
22,22,Swing,973
22,22,Unknown,420594
22,29,Democrat,565
22,29,Republican,20
22,29,Swing,47
22,29,Unknown,7225
22,30,Democrat,13
22,30,Republican,563
22,30,Swing,12
22,30,Unknown,7722
22,31,Democrat,20
22,31,Republican,836
22,31,Swing,24
22,31,Unknown,12435
23,23,Democrat,21972
23,23,Republican,3606
23,23,Swing,737
23,23,Unknown,545715
24,18,Democrat,272
24,18,Republican,2794
24,18,Swing,66
24,18,Unknown,44294
24,21,Democrat,919
24,21,Republican,13
24,21,Swing,44
24,21,Unknown,7074
24,22,Democrat,28
24,22,Republican,733
24,22,Swing,24
24,22,Unknown,9272
24,24,Democrat,2875
24,24,Republican,13969
24,24,Swing,738
24,24,Unknown,320511
24,28,Democrat,8
24,28,Republican,519
24,28,Swing,6
24,28,Unknown,5116
24,31,Democrat,7
24,31,Republican,708
24,31,Swing,18
24,31,Unknown,10355
25,5,Democrat,239
25,5,Republican,1445
25,5,Swing,88
25,5,Unknown,24084
25,25,Democrat,8048
25,25,Republican,23130
25,25,Swing,2115
25,25,Unknown,536257
25,31,Democrat,8
25,31,Republican,417
25,31,Swing,10
25,31,Unknown,4619
26,1,Democrat,42
26,1,Republican,327
