COUNTY,NEWHD,Democrat,Republican,Swing,Unknown,All
MONTAGUE,68,29,1096,29,14530,15684
MONTGOMERY,0,0,0,0,9,9
MONTGOMERY,3,577,5980,160,144372,151089
MONTGOMERY,15,1050,5462,386,136916,143814
MONTGOMERY,16,561,7186,169,131531,139447
MONTGOMERY,18,72,766,12,20352,21202
MOORE,87,5,681,4,9458,10148
MORRIS,1,69,352,25,8555,9001
MOTLEY,69,1,116,0,736,853
NACOGDOCHES,11,333,2580,173,36985,40071
NAVARRO,8,160,1828,68,30912,32968
NEWTON,11,29,601,55,8821,9506
NOLAN,71,21,436,14,8025,8496
NUECES,32,1470,2594,265,105412,109741
NUECES,34,1642,1417,198,106228,109485
OCHILTREE,87,4,463,6,4744,5217
OLDHAM,86,1,146,1,1196,1344
ORANGE,21,250,3117,119,52858,56344
PALO PINTO,60,77,1363,65,18891,20396
PANOLA,11,90,1411,40,16366,17907
PARKER,60,487,7326,249,119787,127849
PARMER,86,3,196,1,4370,4570
PECOS,53,127,311,115,7793,8346
POLK,9,135,2268,64,42081,44548
POTTER,87,323,2625,129,56754,59831
PRESIDIO,74,519,10,54,3862,4445
RAINS,5,42,611,17,8756,9426
RANDALL,86,347,5883,210,93921,100361
REAGAN,72,1,151,3,1654,1809
REAL,53,15,321,12,2356,2704
RED RIVER,1,63,468,24,8219,8774
REEVES,74,565,20,47,7225,7857
REFUGIO,43,50,246,38,4619,4953
ROBERTS,88,0,126,0,597,723
ROBERTSON,12,101,1066,78,11371,12616
ROCKWALL,33,713,4107,251,83177,88248
RUNNELS,72,12,552,9,6256,6829
RUSK,11,203,2013,73,32138,34427
SABINE,11,36,688,23,7732,8479
SAN AUGUSTINE,9,49,358,12,5646,6065
SAN JACINTO,18,102,1603,28,18793,20526
SAN PATRICIO,43,441,1306,112,43513,45372
SAN SABA,68,6,492,5,3300,3803
SCHLEICHER,53,23,169,12,1532,1736
SCURRY,83,20,719,13,8648,9400
SHACKELFORD,68,3,231,4,2205,2443
SHELBY,11,41,1089,36,15229,16395
SHERMAN,87,1,149,1,1301,1452
SMITH,0,0,0,0,5,5
SMITH,5,254,1682,45,30572,32553
SMITH,6,1402,7286,255,120701,129644
SOMERVELL,58,28,757,27,6623,7435
STARR,31,1033,28,264,35146,36471
STEPHENS,60,5,580,5,5319,5909
STERLING,72,2,132,1,739,874
STONEWALL,69,5,59,21,872,957
SUTTON,53,11,344,11,1988,2354
SWISHER,88,11,290,14,3594,3909
TARRANT,90,1697,928,147,91907,94679
TARRANT,91,1069,3840,238,111727,116874
TARRANT,92,1300,1758,214,90410,93682
TARRANT,93,984,2468,202,135009,138663
TARRANT,94,2217,4877,470,113322,120886
TARRANT,95,3372,864,147,103093,107476
TARRANT,96,2177,3681,333,124821,131012
TARRANT,97,2210,4749,453,127076,134488
TARRANT,98,1643,6745,597,130562,139547
TARRANT,99,1289,3791,317,120130,125527
TARRANT,101,2269,1033,127,106309,109738
TAYLOR,71,306,3402,193,86272,90173
TERRELL,74,23,26,38,539,626
TERRY,83,12,473,13,5923,6421
THROCKMORTON,68,2,112,0,1109,1223
TITUS,5,122,1326,59,16579,18086
TOM GREEN,72,308,3062,135,69294,72799
TRAVIS,0,1,0,0,50,51
TRAVIS,19,1071,2089,244,59562,62966
TRAVIS,46,4672,760,288,140305,146025
TRAVIS,47,5111,2855,877,141283,150126
TRAVIS,48,7879,2251,1113,144920,156163
TRAVIS,49,7857,843,694,157282,166676
TRAVIS,50,3574,667,234,112906,117381
TRAVIS,51,3265,302,198,125220,128985
TRINITY,9,72,1091,41,11119,12323
TYLER,9,51,1117,29,13699,14896
UPSHUR,5,133,1598,58,28699,30488
UPTON,53,3,261,14,1832,2110
UVALDE,80,328,465,274,16908,17975
VAL VERDE,74,619,438,244,28861,30162
VAN ZANDT,2,104,2412,44,39368,41928
VICTORIA,30,385,2662,90,55080,58217
WALKER,12,279,2436,136,36219,39070
WALLER,85,331,1451,47,42285,44114
WARD,81,36,355,105,6565,7061
WASHINGTON,12,268,2297,88,23208,25861
WEBB,0,0,0,0,125,125
WEBB,42,5268,211,543,99991,106013
WEBB,80,1582,30,143,40724,42479
WHARTON,85,195,1954,43,24275,26467
WHEELER,88,4,462,4,2950,3420
WICHITA,69,369,3630,115,75998,80112
WILBARGER,69,34,342,13,7745,8134
WILLACY,37,445,36,66,11142,11689
WILLIAMSON,20,2709,6110,615,150321,159755
WILLIAMSON,52,2057,3996,507,159128,165688
