County,Old_Republican,Old_Democrat,Old_Other,Old_Total,New_Republican,New_Democrat,New_Other,New_Total,Net_Republican_Change,Net_Democrat_Change,Net_Other_Change,Pct_Republican_Change,Pct_Democrat_Change
HARRIS,46307,48174,2602912,2697393,46307,48174,2602912,2697393,0,0,0,0.0,0.0
HARRISON,2567,402,44463,47432,2567,402,44462,47431,0,0,-1,0.0,0.0
HARTLEY,229,6,2618,2853,229,6,2618,2853,0,0,0,0.0,0.0
HASKELL,101,17,3333,3451,101,17,3333,3451,0,0,0,0.0,0.0
HAYS,4057,4311,177694,186062,4057,4311,177688,186056,0,0,-6,0.0,0.0
HEMPHILL,268,5,2074,2347,268,5,2074,2347,0,0,0,0.0,0.0
HENDERSON,3201,335,56208,59744,3201,335,56166,59702,0,0,-42,0.0,0.0
HIDALGO,1769,11577,433815,447161,1769,11577,433815,447161,0,0,0,0.0,0.0
HILL,1320,110,25458,26888,1320,110,25454,26884,0,0,-4,0.0,0.0
HOCKLEY,831,26,13153,14010,831,26,13152,14009,0,0,-1,0.0,0.0
HOOD,3790,189,47845,51824,3790,189,47844,51823,0,0,-1,0.0,0.0
HOPKINS,1308,98,24048,25454,1308,98,24047,25453,0,0,-1,0.0,0.0
HOUSTON,1019,129,12789,13937,1019,129,12789,13937,0,0,0,0.0,0.0
HOWARD,793,52,16394,17239,745,52,15633,16430,-48,0,-761,-6.0529634300126105,0.0
HUDSPETH,61,36,2118,2215,61,36,2115,2212,0,0,-3,0.0,0.0
HUNT,2841,269,69920,73030,2841,269,69918,73028,0,0,-2,0.0,0.0
HUTCHINSON,1034,28,12412,13474,1034,28,12412,13474,0,0,0,0.0,0.0
IRION,133,2,1099,1234,133,2,1099,1234,0,0,0,0.0,0.0
JACK,550,10,5310,5870,550,10,5309,5869,0,0,-1,0.0,0.0
JACKSON,623,30,9271,9924,623,30,9271,9924,0,0,0,0.0,0.0
JASPER,1712,162,22709,24583,1711,162,22702,24575,-1,0,-7,-0.05841121495327102,0.0
JEFF DAVIS,187,39,1349,1575,187,39,1346,1572,0,0,-3,0.0,0.0
JEFFERSON,3134,4537,140524,148195,3134,4537,140524,148195,0,0,0,0.0,0.0
JIM HOGG,4,584,2970,3558,4,584,2970,3558,0,0,0,0.0,0.0
JIM WELLS,247,1440,24793,26480,247,1440,24793,26480,0,0,0,0.0,0.0
JOHNSON,4856,636,123820,129312,4856,636,123820,129312,0,0,0,0.0,0.0
JONES,395,26,10476,10897,395,26,10476,10897,0,0,0,0.0,0.0
KARNES,413,36,8018,8467,413,36,8018,8467,0,0,0,0.0,0.0
KAUFMAN,4187,789,103279,108255,4187,789,103267,108243,0,0,-12,0.0,0.0
KENDALL,2711,324,36053,39088,2711,324,36053,39088,0,0,0,0.0,0.0
KENEDY,2,34,235,271,2,34,234,270,0,0,-1,0.0,0.0
KENT,48,6,546,600,48,6,546,600,0,0,0,0.0,0.0
KERR,3492,406,36321,40219,3492,406,36321,40219,0,0,0,0.0,0.0
KIMBLE,452,10,2864,3326,452,10,2864,3326,0,0,0,0.0,0.0
KING,22,0,143,165,22,0,143,165,0,0,0,0.0,0.0
KINNEY,286,22,1866,2174,286,22,1866,2174,0,0,0,0.0,0.0
KLEBERG,434,376,17931,18741,434,376,17931,18741,0,0,0,0.0,0.0
KNOX,57,4,2168,2229,57,4,2168,2229,0,0,0,0.0,0.0
LA SALLE,14,668,3535,4217,14,668,3535,4217,0,0,0,0.0,0.0
LAMAR,1862,151,31181,33194,1862,151,31181,33194,0,0,0,0.0,0.0
LAMB,353,17,7532,7902,353,17,7532,7902,0,0,0,0.0,0.0
LAMPASAS,1153,125,15705,16983,1153,125,15705,16983,0,0,0,0.0,0.0
LAVACA,1083,48,13363,14494,1083,48,13363,14494,0,0,0,0.0,0.0
LEE,928,80,11193,12201,928,80,11193,12201,0,0,0,0.0,0.0
LEON,934,38,11710,12682,934,38,11710,12682,0,0,0,0.0,0.0
LIBERTY,3038,208,51455,54701,3038,208,51448,54694,0,0,-7,0.0,0.0
LIMESTONE,1066,75,13332,14473,1066,75,13332,14473,0,0,0,0.0,0.0
LIPSCOMB,144,1,1677,1822,144,1,1677,1822,0,0,0,0.0,0.0
LIVE OAK,478,34,7283,7795,478,34,7283,7795,0,0,0,0.0,0.0
LLANO,1836,203,16458,18497,1836,203,16458,18497,0,0,0,0.0,0.0
LOVING,9,5,115,129,9,5,115,129,0,0,0,0.0,0.0
LUBBOCK,8684,1137,187794,197615,8682,1137,187748,197567,-2,0,-46,-0.023030861354214647,0.0
LYNN,130,4,4255,4389,130,4,4254,4388,0,0,-1,0.0,0.0
MADISON,763,16,7699,8478,763,16,7699,8478,0,0,0,0.0,0.0
MARION,366,53,7428,7847,366,53,7428,7847,0,0,0,0.0,0.0
MARTIN,312,1,3196,3509,312,1,3196,3509,0,0,0,0.0,0.0
MASON,393,20,2879,3292,393,20,2879,3292,0,0,0,0.0,0.0
MATAGORDA,1373,172,20900,22445,1373,172,20900,22445,0,0,0,0.0,0.0
MAVERICK,64,2824,33063,35951,64,2824,33060,35948,0,0,-3,0.0,0.0
MCCULLOCH,579,14,4850,5443,579,14,4848,5441,0,0,-2,0.0,0.0
MCLENNAN,6115,1260,152468,159843,6115,1260,152468,159843,0,0,0,0.0,0.0
MCMULLEN,59,1,583,643,59,1,583,643,0,0,0,0.0,0.0
MEDINA,2232,281,36104,38617,2232,281,36104,38617,0,0,0,0.0,0.0
MENARD,259,3,1257,1519,259,3,1257,1519,0,0,0,0.0,0.0
MIDLAND,4668,268,94340,99276,4668,268,94339,99275,0,0,-1,0.0,0.0
MILAM,1488,122,15614,17224,1488,122,15614,17224,0,0,0,0.0,0.0
MILLS,635,10,2998,3643,634,10,2993,3637,-1,0,-5,-0.15748031496062992,0.0
MITCHELL,315,5,4218,4538,315,5,4218,4538,0,0,0,0.0,0.0
MONTAGUE,1096,29,14559,15684,1096,29,14556,15681,0,0,-3,0.0,0.0
MONTGOMERY,19394,2260,433907,455561,19394,2260,433898,455552,0,0,-9,0.0,0.0
MOORE,681,5,9462,10148,681,5,9462,10148,0,0,0,0.0,0.0
MORRIS,352,69,8580,9001,352,69,8580,9001,0,0,0,0.0,0.0
MOTLEY,116,1,736,853,116,1,736,853,0,0,0,0.0,0.0
NACOGDOCHES,2580,333,37158,40071,2580,333,37158,40071,0,0,0,0.0,0.0
NAVARRO,1828,160,30980,32968,1828,160,30978,32966,0,0,-2,0.0,0.0
NEWTON,601,29,8876,9506,601,29,8874,9504,0,0,-2,0.0,0.0
NOLAN,436,21,8039,8496,436,21,8038,8495,0,0,-1,0.0,0.0
NUECES,4011,3112,212103,219226,4011,3112,212103,219226,0,0,0,0.0,0.0
OCHILTREE,463,4,4750,5217,463,4,4750,5217,0,0,0,0.0,0.0
OLDHAM,146,1,1197,1344,146,1,1197,1344,0,0,0,0.0,0.0
ORANGE,3117,250,52977,56344,3117,250,52977,56344,0,0,0,0.0,0.0
PALO PINTO,1363,77,18956,20396,1363,77,18956,20396,0,0,0,0.0,0.0
PANOLA,1411,90,16406,17907,1411,90,16406,17907,0,0,0,0.0,0.0
PARKER,7326,487,120036,127849,7326,487,120035,127848,0,0,-1,0.0,0.0
PARMER,196,3,4371,4570,196,3,4371,4570,0,0,0,0.0,0.0
PECOS,311,127,7908,8346,311,127,7908,8346,0,0,0,0.0,0.0
POLK,2268,135,42145,44548,2268,135,42130,44533,0,0,-15,0.0,0.0
POTTER,2625,323,56883,59831,2625,323,56883,59831,0,0,0,0.0,0.0
PRESIDIO,10,519,3916,4445,10,519,3915,4444,0,0,-1,0.0,0.0
RAINS,611,42,8773,9426,611,42,8766,9419,0,0,-7,0.0,0.0
RANDALL,5883,347,94131,100361,5883,347,94131,100361,0,0,0,0.0,0.0
REAGAN,151,1,1657,1809,151,1,1657,1809,0,0,0,0.0,0.0
REAL,321,15,2368,2704,321,15,2368,2704,0,0,0,0.0,0.0
RED RIVER,468,63,8243,8774,468,63,8242,8773,0,0,-1,0.0,0.0
REEVES,20,565,7272,7857,20,565,7272,7857,0,0,0,0.0,0.0
REFUGIO,246,50,4657,4953,246,50,4657,4953,0,0,0,0.0,0.0
ROBERTS,126,0,597,723,126,0,597,723,0,0,0,0.0,0.0
