district,old_expected_republican_voters,old_expected_democrat_voters,old_net_advantage,old_advantage_party,new_republican_voters,new_democrat_voters,new_net_advantage,new_advantage_party,advantage_shift,shift_type
115,6376.0,5866.0,510.0,Neutral/Competitive,6376.0,5866.0,510.0,Neutral/Competitive,0.0,Neutral/Competitive → Neutral/Competitive
116,4227.0,6390.0,-2163.0,Democrat,4227.0,6390.0,-2163.0,Democrat,0.0,Democrat → Democrat
117,4399.0,5212.0,-813.0,Neutral/Competitive,4399.0,5212.0,-813.0,Neutral/Competitive,0.0,Neutral/Competitive → Neutral/Competitive
118,7509.0,5901.0,1608.0,Republican,7509.0,5901.0,1608.0,Republican,0.0,Republican → Republican
119,4446.0,6737.0,-2291.0,Democrat,4446.0,6737.0,-2291.0,Democrat,0.0,Democrat → Democrat
120,3660.0,5873.0,-2213.0,Democrat,3660.0,5873.0,-2213.0,Democrat,0.0,Democrat → Democrat
100,897.0,5548.0,-4651.0,Democrat,897.0,5548.0,-4651.0,Democrat,0.0,Democrat → Democrat
92,4820.0,4343.0,477.0,Neutral/Competitive,4820.0,4343.0,477.0,Neutral/Competitive,0.0,Neutral/Competitive → Neutral/Competitive
98,18881.0,4384.0,14497.0,Republican,18881.0,4384.0,14497.0,Republican,0.0,Republican → Republican
97,13088.0,5228.0,7860.0,Republican,13088.0,5228.0,7860.0,Republican,0.0,Republican → Republican
65,15938.0,4795.0,11143.0,Republican,15938.0,4795.0,11143.0,Republican,0.0,Republican → Republican
122,16638.0,7060.0,9578.0,Republican,16638.0,7060.0,9578.0,Republican,0.0,Republican → Republican
27,5568.0,13028.0,-7460.0,Democrat,5568.0,13028.0,-7460.0,Democrat,0.0,Democrat → Democrat
26,13724.0,5257.0,8467.0,Republican,13724.0,5257.0,8467.0,Republican,0.0,Republican → Republican
76,7648.0,9632.0,-1984.0,Democrat,7648.0,9632.0,-1984.0,Democrat,0.0,Democrat → Democrat
24,18206.0,4179.0,14027.0,Republican,18206.0,4179.0,14027.0,Republican,0.0,Republican → Republican
2,15054.0,1445.0,13609.0,Republican,15054.0,1445.0,13609.0,Republican,0.0,Republican → Republican
125,7096.0,7957.0,-861.0,Neutral/Competitive,7096.0,7957.0,-861.0,Neutral/Competitive,0.0,Neutral/Competitive → Neutral/Competitive
124,2980.0,4838.0,-1858.0,Democrat,2980.0,4838.0,-1858.0,Democrat,0.0,Democrat → Democrat
90,2723.0,3732.0,-1009.0,Democrat,2723.0,3732.0,-1009.0,Democrat,0.0,Democrat → Democrat
91,11430.0,2978.0000000000005,8452.0,Republican,11430.0,2978.0,8452.0,Republican,0.0,Republican → Republican
93,9495.0,3445.0,6050.0,Republican,9495.0,3445.0,6050.0,Republican,0.0,Republican → Republican
96,10477.0,5344.0,5133.0,Republican,10477.0,5344.0,5133.0,Republican,0.0,Republican → Republican
121,16140.0,7768.999999999999,8371.0,Republican,16140.0,7769.0,8371.0,Republican,0.0,Republican → Republican
123,5786.000000000001,8115.0,-2328.999999999999,Democrat,5786.0,8115.0,-2329.0,Democrat,-9.094947017729282e-13,Democrat → Democrat
94,11909.0,4884.999999999999,7024.000000000001,Republican,11909.0,4885.0,7024.0,Republican,-9.094947017729282e-13,Republican → Republican
28,14466.0,6806.999999999999,7659.000000000001,Republican,14466.0,6807.0,7659.0,Republican,-9.094947017729282e-13,Republican → Republican
95,2490.0,6894.999999999999,-4404.999999999999,Democrat,2490.0,6895.0,-4405.0,Democrat,-9.094947017729282e-13,Democrat → Democrat
63,12419.000000000002,4726.0,7693.000000000002,Republican,12419.0,4726.0,7693.0,Republican,-1.8189894035458565e-12,Republican → Republican
148,9662.703159452642,10230.45580679586,-567.752647343219,Neutral/Competitive,9711.0,10299.0,-588.0,Neutral/Competitive,-20.247352656781004,Neutral/Competitive → Neutral/Competitive
12,17837.937706418503,4044.59584905207,13793.341857366433,Republican,17907.0,4141.0,13766.0,Republican,-27.341857366433032,Republican → Republican
150,13990.647310005872,8078.798162242834,5911.849147763038,Republican,13991.0,8118.0,5873.0,Republican,-38.84914776303776,Republican → Republican
46,279.1814313616071,42.776053292410715,236.4053780691964,Neutral/Competitive,240.0,51.0,189.0,Neutral/Competitive,-47.40537806919639,Neutral/Competitive → Neutral/Competitive
55,11816.121429393816,3569.7531805228864,8246.36824887093,Republican,11671.0,3503.0,8168.0,Republican,-78.36824887092916,Republican → Republican
51,346.1669921875,53.03955078125001,293.12744140625,Neutral/Competitive,231.0,23.0,208.0,Neutral/Competitive,-85.12744140625,Neutral/Competitive → Neutral/Competitive
132,12600.442366833968,7616.56176363307,4983.880603200898,Republican,12559.0,7674.0,4885.0,Republican,-98.8806032008979,Republican → Republican
83,94.7437825888459,177.24756709998317,-82.50378451113727,Neutral/Competitive,7.0,252.0,-245.0,Neutral/Competitive,-162.49621548886273,Neutral/Competitive → Neutral/Competitive
75,503.7238808808429,174.54816871410642,329.1757121667365,Neutral/Competitive,400.0,239.0,161.0,Neutral/Competitive,-168.1757121667365,Neutral/Competitive → Neutral/Competitive
49,466.6510881696428,71.50006975446429,395.1510184151785,Neutral/Competitive,346.0,120.0,226.0,Neutral/Competitive,-169.1510184151785,Neutral/Competitive → Neutral/Competitive
70,26958.79248100513,8138.454050082419,18820.33843092271,Republican,26906.0,8281.0,18625.0,Republican,-195.33843092271127,Republican → Republican
127,15700.98479088573,8861.914672662233,6839.070118223497,Republican,15620.0,9045.0,6575.0,Republican,-264.07011822349705,Republican → Republican
87,6442.733817524307,584.9618117279038,5857.772005796403,Republican,6473.0,896.0,5577.0,Republican,-280.7720057964034,Republican → Republican
8,7678.49030889396,850.6458165922022,6827.844492301758,Republican,7279.0,756.0,6523.0,Republican,-304.8444923017578,Republican → Republican
3,3188.602897029686,871.0245991024447,2317.5782979272417,Republican,2856.0,954.0,1902.0,Republican,-415.5782979272417,Republican → Republican
128,18085.080640819157,10419.848221120044,7665.232419699112,Republican,17896.0,10719.0,7177.0,Republican,-488.23241969911214,Republican → Republican
59,4363.526953614709,398.24655244463014,3965.2804011700787,Republican,4128.0,742.0,3386.0,Republican,-579.2804011700787,Republican → Republican
84,345.82656126102313,646.9756109282264,-301.14904966720326,Neutral/Competitive,10.0,1029.0,-1019.0,Democrat,-717.8509503327967,Neutral/Competitive → Democrat
77,6708.781235128955,2593.9754272320074,4114.805807896948,Republican,6199.0,3056.0,3143.0,Republican,-971.805807896948,Republican → Republican
17,9697.699983314633,2336.354707391905,7361.3452759227275,Republican,9142.0,2995.0,6147.0,Republican,-1214.3452759227275,Republican → Republican
58,10587.302740337593,1074.7663820805426,9512.53635825705,Republican,9304.0,1025.0,8279.0,Republican,-1233.5363582570499,Republican → Republican
85,17659.324640112663,3447.4727012640064,14211.851938848657,Republican,16628.0,3858.0,12770.0,Republican,-1441.8519388486566,Republican → Republican
80,866.8490015933824,1512.434993389158,-645.5859917957757,Neutral/Competitive,80.0,2453.0,-2373.0,Democrat,-1727.4140082042243,Neutral/Competitive → Democrat
64,13024.6808936041,2726.252706632011,10298.428186972089,Republican,12176.0,3740.0,8436.0,Republican,-1862.428186972089,Republican → Republican
23,12575.767176689047,3245.381954001278,9330.38522268777,Republican,11324.0,3917.0,7407.0,Republican,-1923.3852226877698,Republican → Republican
7,5386.031184527934,1270.1464513063495,4115.884733221585,Republican,3757.0,1881.0,1876.0,Republican,-2239.8847332215846,Republican → Republican
68,10918.963012424923,1134.5476005012274,9784.415411923696,Republican,9197.0,1771.0,7426.0,Republican,-2358.4154119236955,Republican → Republican
33,36888.47256544627,12114.998511542684,24773.474053903585,Republican,35490.0,15005.0,20485.0,Republican,-4288.474053903585,Republican → Republican
11,10526.082564796618,2473.433936967614,8052.648627829003,Republican,8061.0,4417.0,3644.0,Republican,-4408.648627829003,Republican → Republican
31,13219.901586239468,8842.557288541264,4377.344297698204,Republican,8100.0,15537.0,-7437.0,Democrat,-11814.344297698204,Republican → Democrat
