COUNTY,2026_CD,Republican_Count,Democrat_Count,Other_Count,Total_Count,Republican_Pct,Democrat_Pct,Other_Pct
FREESTONE,34.0,474,24,5076,5574,8.503767491926803,0.4305705059203444,91.06566200215285
FRIO,23.0,83,707,8747,9537,0.8702946419209394,7.413232672748244,91.71647268533081
GAINES,27.0,583,11,9907,10501,5.551852204551948,0.1047519283877726,94.34339586706028
GALVESTON,14.0,8864,2901,234582,246347,3.5981765558338443,1.1776071963531116,95.22421624781305
GARZA,3.0,227,6,2419,2652,8.559577677224736,0.22624434389140274,91.21417797888385
GILLESPIE,14.0,1513,186,13639,15338,9.864389098969879,1.2126744034424306,88.92293649758768
GILLESPIE,22.0,767,66,5759,6592,11.635315533980583,1.0012135922330099,87.36347087378641
GLASSCOCK,19.0,146,2,696,844,17.298578199052134,0.23696682464454977,82.46445497630332
GOLIAD,1.0,616,33,5199,5848,10.533515731874145,0.5642954856361149,88.90218878248974
GONZALES,15.0,962,42,12201,13205,7.285119273002651,0.31806134040136314,92.39681938659598
GRAY,19.0,19,0,396,415,4.578313253012048,0.0,95.42168674698796
GRAY,25.0,903,6,11027,11936,7.565348525469169,0.05026809651474531,92.38438337801608
GRAYSON,4.0,4743,502,95136,100381,4.724997758539963,0.5000946394237953,94.77490760203624
GREGG,2.0,138,13,2574,2725,5.064220183486238,0.47706422018348627,94.45871559633028
GREGG,7.0,50,7,1626,1683,2.9708853238265003,0.41592394533571003,96.6131907308378
GREGG,9.0,557,211,13464,14232,3.91371557054525,1.4825744800449692,94.60370994940978
GREGG,18.0,1609,448,33466,35523,4.529459786617121,1.2611547448132194,94.20938546856966
GREGG,29.0,519,76,13357,13952,3.719896788990826,0.5447247706422018,95.73537844036697
GREGG,36.0,320,32,7932,8284,3.86286817962337,0.386286817962337,95.7508450024143
GRIMES,17.0,1054,109,19846,21009,5.016897520110429,0.5188252653624637,94.4642772145271
GUADALUPE,15.0,2251,379,48323,50953,4.417796793123074,0.7438227386022414,94.83838046827469
GUADALUPE,28.0,2336,839,76855,80030,2.918905410471073,1.0483568661751843,96.03273772335375
HALE,19.0,846,43,17352,18241,4.63790362370484,0.23573269009374487,95.12636368620142
HALL,17.0,78,6,1806,1890,4.1269841269841265,0.31746031746031744,95.55555555555556
HAMILTON,14.0,561,25,5694,6280,8.93312101910828,0.3980891719745223,90.6687898089172
HANSFORD,8.0,375,2,2633,3010,12.458471760797343,0.0664451827242525,87.47508305647841
HARDEMAN,23.0,88,5,2302,2395,3.674321503131524,0.20876826722338201,96.11691022964509
HARDIN,36.0,1383,72,41758,43213,3.2004257977923314,0.16661652743387406,96.63295767477379
HARRIS,2.0,7785,3318,269163,280266,2.7777183104622036,1.1838753184474748,96.03840637109032
HARRIS,7.0,4192,7317,293918,305427,1.3725047228961422,2.3956624659902364,96.23183281111363
HARRIS,8.0,3042,2470,244115,249627,1.2186181783220567,0.9894762986375671,97.79190552304038
HARRIS,9.0,1757,8387,253692,263836,0.6659439955123638,3.1788686911566275,96.155187313331
HARRIS,18.0,2872,11364,409721,423957,0.6774271919086133,2.6804605184016306,96.64211228968975
HARRIS,22.0,1245,466,47111,48822,2.550079882020401,0.9544877309409693,96.49543238703863
HARRIS,29.0,1704,5138,332730,339572,0.5018081585054127,1.5130811727704288,97.98511066872416
HARRIS,36.0,6564,3127,254453,264144,2.485008177357805,1.1838239748016235,96.33116784784058
HARRIS,38.0,17146,6587,498009,521742,3.2862985920244108,1.2625013895756907,95.4512000183999
HARRISON,2.0,1014,145,18726,19885,5.099321096303747,0.7291928589388987,94.17148604475736
HARRISON,8.0,1553,257,25736,27546,5.637842154940826,0.9329848253829957,93.42917301967618
HARTLEY,11.0,229,6,2618,2853,8.026638626007712,0.2103049421661409,91.76305643182616
HASKELL,23.0,101,17,3333,3451,2.9266879165459287,0.49261083743842365,96.58070124601565
HAYS,21.0,3417,2860,86711,92988,3.674667699057943,3.0756656772916937,93.24966662365036
HAYS,35.0,640,1451,90977,93068,0.6876692310998409,1.5590750848841708,97.753255684016
HEMPHILL,22.0,268,5,2074,2347,11.418832552194292,0.21303792074989347,88.36812952705581
HENDERSON,5.0,3201,335,56166,59702,5.361629426149878,0.5611202304780409,94.07725034337207
HIDALGO,2.0,84,444,20207,20735,0.4051121292500603,2.141306968893176,97.45358090185677
HIDALGO,7.0,203,1143,55130,56476,0.3594447198810114,2.023868545931015,97.61668673418798
HIDALGO,8.0,23,336,10535,10894,0.2111253901230035,3.0842665687534425,96.70460804112355
HIDALGO,9.0,236,1237,42228,43701,0.5400334088464795,2.8305988421317587,96.62936774902177
HIDALGO,18.0,398,3155,110721,114274,0.34828569928417663,2.7609079930692895,96.89080630764654
HIDALGO,29.0,502,2952,115060,118514,0.4235786489359907,2.490844963464232,97.08557638759979
HIDALGO,36.0,137,1372,34191,35700,0.38375350140056025,3.8431372549019605,95.77310924369748
HIDALGO,38.0,186,938,45743,46867,0.39686773209294385,2.0014082403396847,97.60172402756737
HILL,2.0,444,57,9000,9501,4.673192295547837,0.5999368487527629,94.7268708556994
HILL,8.0,876,53,16454,17383,5.0394063165161365,0.3048955876430996,94.65569809584076
HOCKLEY,9.0,38,2,804,844,4.502369668246446,0.23696682464454977,95.260663507109
HOCKLEY,14.0,364,15,6752,7131,5.104473425886972,0.2103491796381994,94.68517739447483
HOCKLEY,22.0,429,9,5596,6034,7.109711634073583,0.14915478952601924,92.7411335764004
HOOD,25.0,3790,189,47844,51823,7.313355074001891,0.364702931130965,92.32194199486715
HOPKINS,4.0,1308,98,24047,25453,5.138883432208384,0.3850233764192826,94.47609319137233
HOUSTON,27.0,1019,129,12789,13937,7.311473057329411,0.9255937432733014,91.7629331993973
HOWARD,19.0,745,52,15633,16430,4.534388314059647,0.31649421789409615,95.14911746804626
HUDSPETH,23.0,61,36,2115,2212,2.7576853526220613,1.62748643761302,95.61482820976492
HUNT,3.0,2666,245,61047,63958,4.168360486569311,0.3830638856749742,95.44857562775572
HUNT,4.0,175,24,8871,9070,1.9294377067254687,0.2646085997794928,97.80595369349504
HUTCHINSON,34.0,1034,28,12412,13474,7.674038889713522,0.20780762950868337,92.11815348077779
IRION,11.0,133,2,1099,1234,10.777957860615883,0.1620745542949757,89.05996758508914
JACK,16.0,550,10,5309,5869,9.371272789231554,0.17038677798602828,90.4583404327824
JACKSON,27.0,623,30,9271,9924,6.277710600564289,0.3022974607013301,93.41999193873438
JASPER,5.0,1711,162,22702,24575,6.96236012207528,0.659206510681587,92.37843336724313
JEFF DAVIS,3.0,187,39,1346,1572,11.895674300254452,2.480916030534351,85.6234096692112
JEFFERSON,2.0,1625,2012,74416,78053,2.081918696270483,2.5777356411668997,95.34034566256263
JEFFERSON,8.0,1509,2525,66108,70142,2.1513501183313846,3.5998403239143455,94.24880955775427
JIM HOGG,10.0,4,584,2970,3558,0.11242270938729623,16.41371557054525,83.47386172006746
JIM WELLS,14.0,247,1440,24793,26480,0.9327794561933535,5.438066465256798,93.62915407854985
JOHNSON,2.0,2011,257,50732,53000,3.7943396226415094,0.4849056603773585,95.72075471698113
JOHNSON,8.0,2845,379,73088,76312,3.7281161547332005,0.4966453506656882,95.77523849460111
JONES,13.0,395,26,10476,10897,3.6248508763879963,0.23859777920528588,96.13655134440671
KARNES,31.0,413,36,8018,8467,4.877760718081965,0.4251801110192512,94.69705917089878
KAUFMAN,2.0,157,23,2379,2559,6.135209066041422,0.8987885892926925,92.96600234466588
KAUFMAN,7.0,421,121,13790,14332,2.937482556516885,0.8442645827518839,96.21825286073124
KAUFMAN,9.0,679,132,19226,20037,3.3887308479313267,0.6587812546788441,95.95248789738983
KAUFMAN,18.0,1828,239,34000,36067,5.068345024537666,0.6626556131643885,94.26899936229795
KAUFMAN,29.0,714,207,25185,26106,2.7350034474833373,0.7929211675476902,96.47207538496897
KAUFMAN,36.0,388,67,8687,9142,4.244147888864581,0.7328812076132137,95.02297090352221
KENDALL,21.0,2711,324,36053,39088,6.935632419156774,0.8288988948014737,92.23546868604176
KENEDY,28.0,2,34,234,270,0.7407407407407408,12.592592592592592,86.66666666666667
KENT,10.0,48,6,546,600,8.0,1.0,91.0
KERR,2.0,521,51,2166,2738,19.028487947406866,1.8626734842951058,79.10883856829803
KERR,7.0,447,61,6788,7296,6.126644736842105,0.8360745614035088,93.03728070175438
KERR,8.0,220,63,4955,5238,4.2000763650248185,1.202749140893471,94.59717449408171
KERR,9.0,51,6,950,1007,5.06454816285998,0.5958291956305859,94.33962264150944
KERR,18.0,856,81,8193,9130,9.375684556407448,0.8871851040525739,89.73713033953999
KERR,29.0,646,53,6810,7509,8.603009721667334,0.7058196830470103,90.69117059528566
KERR,36.0,366,38,3388,3792,9.651898734177216,1.0021097046413503,89.34599156118144
KERR,38.0,385,53,3071,3509,10.9717868338558,1.5104018238814476,87.51781134226275
KIMBLE,19.0,452,10,2864,3326,13.58989777510523,0.30066145520144316,86.10944076969332
KING,13.0,22,0,143,165,13.333333333333334,0.0,86.66666666666667
KINNEY,28.0,286,22,1866,2174,13.155473781048757,1.011959521619135,85.8325666973321
KLEBERG,2.0,21,25,1192,1238,1.6962843295638126,2.0193861066235863,96.2843295638126
KLEBERG,7.0,60,45,2245,2350,2.553191489361702,1.9148936170212765,95.53191489361701
KLEBERG,9.0,101,75,3816,3992,2.530060120240481,1.8787575150300602,95.59118236472945
KLEBERG,18.0,103,116,5114,5333,1.9313707106694167,2.1751359459966246,95.89349334333396
KLEBERG,29.0,62,64,2822,2948,2.1031207598371777,2.1709633649932156,95.7259158751696
KLEBERG,36.0,87,51,2742,2880,3.0208333333333335,1.7708333333333333,95.20833333333333
KNOX,17.0,57,4,2168,2229,2.557200538358008,0.1794526693584567,97.26334679228353
LA SALLE,36.0,14,668,3535,4217,0.3319895660422101,15.84064500829974,83.82736542565806
LAMAR,4.0,1862,151,31181,33194,5.609447490510333,0.45490148822076276,93.93565102126891
LAMB,5.0,353,17,7532,7902,4.467223487724627,0.21513540875727666,95.31764110351808
LAMPASAS,15.0,1153,125,15705,16983,6.789142083259731,0.7360301477948538,92.47482776894542
LAVACA,8.0,90,6,724,820,10.975609756097562,0.7317073170731708,88.29268292682927
LAVACA,9.0,360,14,5580,5954,6.046355391333557,0.23513604299630503,93.71850856567013
LAVACA,29.0,344,13,3459,3816,9.014675052410901,0.34067085953878407,90.64465408805032
